codgeo,SinglePerson_HH,SingleMan_HH,SingleWoman_HH,OtherNoFamily_HH,Family_HH,NoChildFamily_HH,ChildFamily_HH,SingleParent_HH,Farmer_HH,CraftsBusinessShopkeepers_HH,HighQualidied_HH,Intermediate_HH,BlueCollar_HH,WhiteCollar_HH,Retired_HH,Other_HH,15+_SinglePerson_HH,Pop_SingleMan_HH,Pop_SingleWoman_HH,Pop_OtherNoFamily_HH,Pop_Family_HH,Pop_NoChildFamily_HH,Pop_ChildFamily_HH,Pop_SingleParent_HH,Pop_Farmer_HH,Pop_CraftsBusinessShopkeepers_HH,Pop_HighQualidied_HH,Pop_Intermediate_HH,Pop_BlueCollar_HH,Pop_WhiteCollar_HH,Pop_Retired_HH,Pop_Other_HH,1524_amg_15+POP,2554_amg_15+POP,5579_amg_15+POP,80+_amg_15+POP,15+_Single_amg_POP,15+_Married_amg_POP,15+_nonMarried_amg_POP,1524_amg_HH,2554_amg_HH,5579_amg_HH,80+_amg_HH,1524_amg_Single,2554_amg_Single,5579_amg_Single,80+_amg_Single,Family_w_Children_amg_HH,Single_Parent_Family_amg_HH,Family_wo_Children_amg_HH,taux_cumu_1_inj
200000172,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1
200000438,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0
200000545,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
200000628,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
200000800,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
200000925,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
200000933,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
200004802,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1
200005932,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
200005957,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
