codgeo,French_nlty,Stranger,Immigrant,French_nlty_amg_Men,Stranger_amg_Men,Immigrant_amg_Men,French_nlty_amg_Women,Stranger_amg_Women,Immigrant_amg_Women,Res_Abroad_2017,taux_cumu_1_inj
200000172,0,1,1,0,1,1,0,1,1,1,1
200000438,1,0,0,1,0,0,1,0,0,0,0
200000545,0,1,1,0,1,1,0,1,1,0,1
200000628,0,1,1,0,1,1,0,1,1,1,1
200000800,1,0,0,1,0,0,1,0,0,0,0
200000925,1,0,0,1,0,0,1,0,0,0,0
200000933,1,0,0,1,0,0,1,0,0,0,0
200004802,0,1,1,0,1,1,0,1,1,0,1
200005932,1,0,0,1,0,0,1,0,0,0,0
200005957,1,0,0,1,0,0,1,0,0,0,0
200006682,0,1,1,0,1,0,0,1,1,0,0
200006716,0,1,1,0,1,1,0,1,1,0,0
200006930,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200006971,1,0,0,1,0,0,1,0,0,0,0
200007052,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200007177,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200010650,0,1,1,0,1,1,0,1,1,1,0
200010700,1,0,0,1,0,0,1,0,0,0,0
200011773,0,1,1,0,1,1,0,1,1,1,1
200011781,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200013050,1,0,0,1,0,0,1,0,0,0,0
200015162,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200016905,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200017341,0,1,1,0,1,1,0,1,1,0,1
200017846,0,1,1,0,1,1,0,1,1,1,0
200018083,1,0,0,1,0,0,1,0,0,0,0
200018166,1,0,1,1,0,0,1,0,1,0,0
200018406,0,1,1,0,1,1,0,1,1,0,0
200018521,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200018653,0,1,1,0,1,1,0,1,1,0,1
200022986,1,0,0,1,0,0,1,0,1,1,0
200023075,1,0,1,1,0,0,1,0,1,1,1
200023125,0,1,1,0,1,1,0,1,1,0,0
200023240,0,1,1,0,1,1,0,1,1,0,0
200023299,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200023307,0,1,1,0,1,1,0,1,1,1,0
200023372,0,1,1,0,1,1,0,1,1,1,0
200023414,0,1,1,0,1,1,0,1,1,1,0
200023620,1,0,1,1,0,1,1,0,1,1,0
200023737,0,1,1,0,1,1,0,1,1,1,0
200023778,1,0,0,1,0,0,1,0,0,0,0
200023794,1,0,0,1,0,0,1,0,0,0,0
200023919,0,1,1,0,1,1,0,1,1,0,0
200026573,0,1,1,0,1,1,0,1,1,1,0
200027027,1,0,0,1,0,0,1,0,0,0,0
200027076,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200027100,0,1,1,0,1,1,0,1,1,1,0
200027183,0,1,1,0,1,1,0,1,1,1,0
200027217,0,1,1,0,1,1,0,1,1,1,0
200027308,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200027548,0,1,1,0,1,1,0,1,1,1,1
200029734,1,0,0,1,0,0,1,0,0,1,0
200029999,1,0,0,1,0,0,1,0,0,1,0
200030195,0,1,1,0,1,1,0,1,1,1,1
200030385,0,1,1,0,1,1,0,1,1,1,0
200030435,1,0,0,1,0,0,1,0,0,1,0
200030526,0,1,1,1,0,1,0,1,1,0,0
200030633,1,0,0,1,0,0,1,0,0,0,0
200030658,1,0,0,1,0,0,1,0,0,0,0
200030674,0,1,1,0,1,1,0,1,1,1,0
200032514,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200033025,1,0,0,1,0,1,1,0,0,0,0
200033090,1,0,1,0,1,1,1,0,1,0,0
200033116,0,1,1,0,1,1,0,1,1,1,1
200033173,0,1,1,0,1,1,0,1,1,1,0
200033181,0,1,1,0,1,1,0,1,1,1,0
200033298,1,0,0,1,0,0,1,0,0,0,0
200033579,1,0,0,1,0,0,1,0,0,1,0
200033827,0,1,1,0,1,1,0,1,1,1,1
200033868,0,1,1,0,1,1,0,1,1,0,0
200034023,1,0,0,1,0,0,1,0,0,1,0
200034031,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200034049,1,0,0,1,0,0,1,0,0,0,0
200034056,1,0,0,1,0,0,1,0,0,0,0
200034064,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200034098,0,1,1,0,1,0,0,1,1,1,0
200034130,0,1,1,0,1,1,0,1,1,1,0
200034197,0,1,1,0,1,1,0,1,1,1,0
200034205,0,1,1,0,1,1,0,1,1,1,1
200034270,1,0,1,1,0,0,1,0,1,0,0
200034379,0,1,1,0,1,1,0,1,1,1,0
200034411,0,1,1,0,1,1,0,1,1,1,0
200034601,NA,NA,0,NA,NA,0,NA,NA,1,NA,1
200034635,1,0,0,1,0,0,1,0,0,0,0
200034692,0,1,1,0,1,1,0,1,1,0,1
200034700,0,1,1,0,1,1,0,1,1,1,1
200034718,1,0,0,1,0,0,1,0,0,0,0
200034726,1,0,0,1,0,0,1,0,1,1,0
200034825,1,0,0,1,0,0,1,0,0,0,0
200034833,0,1,1,0,1,1,0,1,1,1,0
200034874,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200034882,0,1,1,0,1,1,0,1,1,1,0
200034957,1,0,1,1,0,1,1,0,1,0,0
200035087,0,1,1,0,1,1,0,1,1,1,1
200035103,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200035111,1,0,0,1,0,0,1,0,0,0,0
200035129,0,1,1,0,1,1,0,1,1,1,0
200035137,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200035202,1,0,0,1,0,0,1,0,0,0,0
200035319,0,1,1,0,1,1,0,1,1,1,0
200035327,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200035442,1,0,0,1,0,0,1,0,0,1,0
200035459,0,1,1,0,1,1,0,1,1,1,0
200035533,1,0,1,1,0,1,1,0,0,0,0
200035541,1,0,1,1,0,0,1,0,1,0,0
200035632,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200035707,0,1,1,0,1,1,0,1,1,1,0
200035715,0,1,1,0,1,1,0,1,1,1,0
200035723,NA,NA,1,NA,NA,1,NA,NA,1,NA,1
200035731,0,1,1,0,1,1,0,1,1,1,0
200035756,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200035764,1,0,0,1,0,0,1,0,0,0,0
200035772,1,0,0,1,0,0,1,0,0,1,0
200035814,1,0,0,1,0,0,1,0,0,0,0
200035848,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200035855,0,1,1,0,1,1,0,1,1,1,0
200035863,0,1,1,0,1,1,0,1,1,1,0
200035970,1,0,0,1,0,0,1,0,0,0,0
200036069,1,0,0,1,0,0,1,0,0,0,0
200036077,0,1,1,0,1,1,0,1,1,1,0
200036135,1,0,0,1,0,0,1,0,0,0,0
200036150,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200036465,0,1,1,0,1,1,0,1,1,0,0
200036473,1,0,0,1,0,0,1,0,0,0,0
200036499,0,1,1,0,1,1,0,1,1,1,1
200036523,0,1,1,0,1,1,0,1,1,1,0
200036549,1,0,0,1,0,0,1,0,0,0,0
200036572,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200037059,1,0,0,1,0,0,1,0,0,0,0
200037133,0,1,1,0,1,1,0,1,1,1,0
200038958,0,1,0,0,1,1,1,0,0,1,0
200038990,1,0,0,1,0,0,1,0,0,1,0
200039022,1,0,0,1,0,0,1,0,0,0,0
200039055,1,0,0,1,0,0,1,0,0,0,0
200039063,NA,NA,0,NA,NA,0,NA,NA,0,NA,0
200039204,1,0,1,1,0,1,0,1,1,1,0
200039519,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
200039642,1,0,1,1,0,0,1,0,1,0,0
200039709,NA,NA,0,NA,NA,1,NA,NA,0,NA,0
200039758,1,0,1,1,0,1,1,0,0,0,0
200039808,1,0,0,1,0,0,1,0,0,1,0
