codgeo,latitude,longitude,densite,taux_cumu_1_inj,lat01,lon01,SO-NE,NO-SE,distParis
200000172,0,1,1,1,0,1,1,1,0
200000438,1,0,1,0,1,0,0,0,1
200000545,1,1,1,1,1,1,1,1,1
200000628,0,1,1,1,0,1,1,1,0
200000800,1,0,0,0,1,0,1,0,1
200000925,1,1,1,0,1,1,1,1,1
200000933,1,0,0,0,1,0,1,0,1
200004802,0,1,1,1,0,1,1,1,0
200005932,1,0,0,0,1,0,1,0,1
200005957,1,1,0,0,1,1,1,1,1
200006682,1,1,1,0,1,1,1,1,1
200006716,1,1,0,0,1,1,1,1,1
200006930,0,1,0,0,0,1,1,1,0
200006971,1,0,1,0,1,0,0,0,1
200007052,0,0,0,0,0,0,0,0,0
200007177,1,1,0,0,1,1,1,1,1
200010650,1,1,1,0,1,1,1,1,1
200010700,1,0,1,0,1,0,0,0,1
200011773,0,1,1,1,0,1,1,1,0
200011781,1,1,0,0,1,1,1,1,1
200013050,1,1,1,0,1,1,1,1,1
200015162,0,1,0,1,0,1,1,1,0
200016905,0,1,0,0,0,1,1,1,0
200017341,0,1,0,1,0,1,1,1,0
200017846,1,0,1,1,1,0,1,0,1
200018083,1,0,1,0,1,0,1,0,1
200018166,0,1,1,0,0,1,1,1,0
200018406,1,0,1,0,1,0,0,0,1
200018521,0,0,0,0,0,0,0,0,0
200022986,0,1,1,0,0,1,1,1,0
200023075,1,1,0,1,1,1,1,1,1
200023125,1,0,1,0,1,0,1,0,1
200023240,1,0,1,0,1,0,1,0,1
200023299,0,1,0,0,0,1,1,1,0
200023307,0,0,1,1,0,0,0,0,0
200023372,0,1,0,0,0,1,1,1,0
200023414,1,0,1,0,1,0,0,0,1
200023620,0,0,1,0,0,0,0,0,0
200023737,0,0,1,0,0,0,0,0,0
200023778,0,0,1,0,0,0,0,0,0
200023794,0,0,1,0,0,0,0,0,0
200023919,1,0,0,0,1,0,1,0,1
200026573,0,1,0,1,0,1,1,1,0
200027027,1,0,1,0,1,0,0,0,1
200027076,0,0,0,0,0,0,1,0,0
200027100,0,1,1,0,0,1,1,1,0
200027183,0,1,1,1,0,1,0,1,0
200027217,0,0,1,0,0,0,0,0,0
200027308,1,1,0,0,1,1,1,1,1
200029734,0,0,0,0,0,0,0,0,0
200029999,0,1,1,0,0,1,1,1,0
200030195,0,1,1,1,0,1,1,1,0
200030385,1,0,1,0,1,0,0,0,1
200030435,0,0,0,0,0,0,0,0,0
200030526,1,1,1,0,1,1,1,1,1
200030633,1,1,1,0,1,1,1,0,1
200030658,0,1,0,0,0,1,1,1,0
200030674,0,0,1,0,0,0,0,0,0
200032514,1,1,0,0,1,1,1,1,1
200033025,1,1,1,0,1,1,1,1,1
200033090,1,1,1,0,1,1,1,0,1
200033116,0,1,1,1,0,1,1,1,0
200033173,1,0,1,0,1,0,1,0,1
200033181,1,0,1,0,1,0,1,0,1
200033298,1,0,0,0,1,0,0,0,1
200033579,1,1,1,0,1,1,1,0,1
200033827,0,1,0,1,0,1,1,1,0
200033868,1,1,1,0,1,1,1,1,1
200034023,0,0,1,0,0,0,0,1,0
200034031,0,0,0,0,0,0,0,1,0
200034049,0,0,0,0,0,0,0,1,0
200034056,0,0,0,0,0,0,0,1,0
200034064,0,0,0,1,0,0,0,1,0
200034098,0,1,0,0,0,1,1,1,0
200034130,1,0,1,0,1,0,1,0,1
200034197,0,0,0,0,0,0,0,0,0
200034205,0,1,0,1,0,1,1,1,0
200034270,1,1,1,0,1,1,1,1,1
200034379,0,1,0,0,0,1,1,1,0
