codgeo;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj;latitude;longitude
200018653;119,310;99685;8,35512530383036e+02;0,177;NA;NA
200041507;208,480;64239;3,08130276285495e+02;0,246;NA;NA
200044691;335,650;57173;1,70335170564576e+02;0,164;NA;NA
249710047;159,490;10655;6,68066963445984e+01;0,186;NA;NA
249710062;469,890;77398;1,64715146098023e+02;0,192;NA;NA
249710070;342,840;78479;2,28908528759771e+02;0,217;NA;NA
200027548;11920,360;29843;2,50353177253036e+00;0,251;NA;NA
249730037;41209,840;94677;2,29743672870363e+00;0,101;NA;NA
249730045;4859,800;144501;2,97339396682991e+01;0,249;NA;NA
249730052;25835,140;7107;2,75090438836407e-01;0,219;NA;NA
249740077;378,040;181704;4,80647550523754e+02;0,397;NA;NA
249740085;564,710;128965;2,28373855607303e+02;0,394;NA;NA
249740093;736,410;126877;1,72291250797789e+02;0,367;NA;NA
249740101;535,940;210928;3,93566444004926e+02;0,398;NA;NA
249740119;287,980;207487;7,20491006319883e+02;0,427;NA;NA
200041788;520,120;99009;1,90357994309006e+02;0,181;NA;NA
249720053;411,980;115068;2,79304820622360e+02;0,210;NA;NA
249720061;175,910;154706;8,79461088056392e+02;0,207;NA;NA
200000172;115,130;27163;2,35933292799444e+02;0,569;6557601;965024
200000438;327,170;35445;1,08338172815356e+02;0,601;6720287;317100
200000545;105,090;18432;1,75392520696546e+02;0,576;6822642;751848
200000628;150,580;23896;1,58693053526365e+02;0,533;6353222;837136
200000800;342,570;10548;3,07907872843506e+01;0,707;6723462;629474
200000925;195,180;22004;1,12736960754176e+02;0,694;6682848;866901
200000933;974,560;14597;1,49780413725168e+01;0,721;6706394;653115
200004802;408,000;28088;6,88431372549020e+01;0,531;6285572;1000962
200005932;417,260;15402;3,69122369745482e+01;0,722;6737402;620802
200005957;328,960;13052;3,96765564202335e+01;0,615;6813763;968641
200006682;558,810;51395;9,19722266960148e+01;0,707;6656547;835217
200006716;295,850;16830;5,68869359472706e+01;0,619;6821854;738015
200006930;262,270;5186;1,97735158424524e+01;0,655;6403932;761329
200006971;281,570;18261;6,48542103207018e+01;0,703;6796608;544761
200007052;286,360;5663;1,97758066769102e+01;0,705;6598049;607091
200007177;254,210;4879;1,91927933598206e+01;0,627;6651820;684706
200010650;426,580;54595;1,27983027802522e+02;0,649;6670850;889353
200010700;575,940;77906;1,35267562593326e+02;0,681;6942990;524487
200011773;77,820;90378;1,16137239784117e+03;0,472;6571678;952292
200011781;290,550;9663;3,32576148683531e+01;0,664;6654081;697909
200013050;197,820;17388;8,78980891719745e+01;0,692;6881863;1049016
200015162;474,660;6011;1,26638014578856e+01;0,597;6146523;1229325
200016905;223,850;6682;2,98503462139826e+01;0,623;6434787;823871
200017341;554,650;14702;2,65068060939331e+01;0,557;6297876;728078
200017846;473,100;54337;1,14853096596914e+02;0,584;6810120;635717
200018083;248,380;23225;9,35059183509139e+01;0,703;7065490;616346
200018166;647,350;101729;1,57146829381324e+02;0,685;6471618;931178
200018406;492,320;33569;6,81853266168346e+01;0,665;6692638;606226
200018521;280,170;5996;2,14012920726702e+01;0,676;6612356;607468
200022986;576,580;48811;8,46560754795518e+01;0,679;6297083;766604
200023075;385,240;18604;4,82919738344928e+01;0,534;6693957;989828
200023125;67,550;45787;6,77823834196891e+02;0,649;6849827;677113
200023240;223,920;29749;1,32855484101465e+02;0,625;6796348;669930
200023299;164,130;9185;5,59617376469871e+01;0,634;6492842;976550
200023307;355,820;47719;1,34109943229723e+02;0,603;6365382;515034
200023372;350,180;13069;3,73208064424011e+01;0,642;6546792;998328
200023414;664,140;492681;7,41833047249074e+02;0,657;6925529;557757
200023620;237,810;22069;9,28009755687313e+01;0,638;6279106;542931
200023737;594,330;41607;7,00065620110040e+01;0,646;6378989;574859
200023778;293,900;49545;1,68577747533175e+02;0,735;6633022;329873
200023794;205,140;20052;9,77478794969289e+01;0,615;6453290;417376
200023919;337,610;18716;5,54367465418678e+01;0,623;6787631;678035
200026573;350,840;20262;5,77528217991107e+01;0,609;6588519;917862
200027027;351,650;27767;7,89620361154557e+01;0,672;6730399;294569
200027076;361,670;8109;2,24209915115990e+01;0,641;6637921;647654
200027100;431,180;44109;1,02298344079039e+02;0,607;6239813;965430
200027183;646,660;268445;4,15125413664058e+02;0,598;6181083;688245
200027217;234,430;16023;6,83487608241266e+01;0,635;6422924;557062
200027308;765,480;8330;1,08820609290902e+01;0,666;6741213;863932
200029734;617,080;19917;3,22762040578207e+01;0,651;6485474;456909
200029999;170,430;14620;8,57830194214634e+01;0,633;6555354;886322
200030195;1463,730;540281;3,69112472928750e+02;0,574;6319562;1037769
200030385;793,360;105286;1,32708984571947e+02;0,649;6720723;569141
200030435;302,400;12846;4,24801587301587e+01;0,712;6291421;434956
200030526;185,770;20254;1,09027291812456e+02;0,663;6800824;1039538
200030633;374,460;64565;1,72421620466806e+02;0,636;7000875;732112
200030658;635,520;10103;1,58972180261833e+01;0,618;6421449;909848
200030674;671,550;60213;8,96627205718115e+01;0,622;6379395;477860
200032514;278,000;5508;1,98129496402878e+01;0,661;6671574;692786
200033025;400,610;34458;8,60138289109109e+01;0,703;6850227;864311
200033090;144,610;24840;1,71772353225918e+02;0,622;6876269;681346
200033116;202,330;46089;2,27791232145505e+02;0,572;6555399;975953
200033173;85,050;25178;2,96037624926514e+02;0,715;6846213;626566
200033181;863,730;136243;1,57737950516944e+02;0,675;6815452;589923
200033298;691,370;27189;3,93262652414771e+01;0,671;6788605;446887
200033579;307,750;108347;3,52061738424045e+02;0,685;7020049;684660
200033827;649,560;12971;1,99689020259868e+01;0,567;6123236;1223258
200033868;194,170;15114;7,78390070556729e+01;0,627;6761766;982457
200034023;260,480;28727;1,10284858722359e+02;0,625;6287206;601164
200034031;340,980;6415;1,88134201419438e+01;0,651;6309062;652596
200034049;264,670;11098;4,19314618203801e+01;0,624;6301606;634840
200034056;397,310;14424;3,63041453776648e+01;0,647;6287286;623903
200034064;258,650;4522;1,74830852503383e+01;0,611;6333372;613049
200034098;350,140;12145;3,46861255497801e+01;0,616;6561850;982543
200034130;95,870;22004;2,29519140502764e+02;0,715;6865696;619862
200034197;265,410;12020;4,52884216872009e+01;0,616;6426782;472261
200034205;185,420;10666;5,75234602524000e+01;0,559;6160934;1232484
200034270;191,660;24254;1,26547010330794e+02;0,675;6818861;1028542
200034379;479,390;28454;5,93545964663426e+01;0,636;6328993;811179
200034411;452,730;21879;4,83268173083295e+01;0,582;6316970;780017
200034601;430,190;5396;1,25432948232176e+01;0,565;6332330;748759
200034635;137,260;25709;1,87301471659624e+02;0,746;6848471;1037642
200034692;633,260;74411;1,17504658434134e+02;0,562;6342823;826276
200034700;843,800;62425;7,39808011377104e+01;0,548;6307914;936185
200034718;526,710;24070;4,56987716200566e+01;0,649;6844457;811333
200034726;428,310;11209;2,61702972146343e+01;0,671;6300547;528757
200034825;482,450;28734;5,95585034718624e+01;0,694;6563081;612179
200034833;668,240;18694;2,79749790494433e+01;0,649;6412616;525615
200034874;430,560;5986;1,39028242289112e+01;0,625;6870166;897884
200034882;435,680;44857;1,02958593463092e+02;0,639;6537565;982873
200034957;162,330;26724;1,64627610423212e+02;0,625;6300200;572176
200035087;258,830;59572;2,30158791484758e+02;0,566;6307022;851574
