codgeo;CS1_8-AGEREMPLOI_POP_ENS_ENS;CS1_8-AGEREMPLOI_POP_1_ENS;CS1_8-AGEREMPLOI_POP_2_ENS;CS1_8-AGEREMPLOI_POP_3_ENS;CS1_8-AGEREMPLOI_POP_4_ENS;CS1_8-AGEREMPLOI_POP_5_ENS;CS1_8-AGEREMPLOI_POP_6_ENS;CS1_8-AGEREMPLOI_POP_7_ENS;CS1_8-AGEREMPLOI_POP_8_ENS;CS1_8-AGEREMPLOI_POP_ENS_15;CS1_8-AGEREMPLOI_POP_1_15;CS1_8-AGEREMPLOI_POP_2_15;CS1_8-AGEREMPLOI_POP_3_15;CS1_8-AGEREMPLOI_POP_4_15;CS1_8-AGEREMPLOI_POP_5_15;CS1_8-AGEREMPLOI_POP_6_15;CS1_8-AGEREMPLOI_POP_7_15;CS1_8-AGEREMPLOI_POP_8_15;CS1_8-AGEREMPLOI_POP_ENS_25;CS1_8-AGEREMPLOI_POP_1_25;CS1_8-AGEREMPLOI_POP_2_25;CS1_8-AGEREMPLOI_POP_3_25;CS1_8-AGEREMPLOI_POP_4_25;CS1_8-AGEREMPLOI_POP_5_25;CS1_8-AGEREMPLOI_POP_6_25;CS1_8-AGEREMPLOI_POP_7_25;CS1_8-AGEREMPLOI_POP_8_25;CS1_8-AGEREMPLOI_POP_ENS_55;CS1_8-AGEREMPLOI_POP_1_55;CS1_8-AGEREMPLOI_POP_2_55;CS1_8-AGEREMPLOI_POP_3_55;CS1_8-AGEREMPLOI_POP_4_55;CS1_8-AGEREMPLOI_POP_5_55;CS1_8-AGEREMPLOI_POP_6_55;CS1_8-AGEREMPLOI_POP_7_55;CS1_8-AGEREMPLOI_POP_8_55;CS1_8-SEXE_POP_ENS_ENS;CS1_8-SEXE_POP_1_ENS;CS1_8-SEXE_POP_2_ENS;CS1_8-SEXE_POP_3_ENS;CS1_8-SEXE_POP_4_ENS;CS1_8-SEXE_POP_5_ENS;CS1_8-SEXE_POP_6_ENS;CS1_8-SEXE_POP_7_ENS;CS1_8-SEXE_POP_8_ENS;CS1_8-SEXE_POP_ENS_1;CS1_8-SEXE_POP_1_1;CS1_8-SEXE_POP_2_1;CS1_8-SEXE_POP_3_1;CS1_8-SEXE_POP_4_1;CS1_8-SEXE_POP_5_1;CS1_8-SEXE_POP_6_1;CS1_8-SEXE_POP_7_1;CS1_8-SEXE_POP_8_1;CS1_8-SEXE_POP_ENS_2;CS1_8-SEXE_POP_1_2;CS1_8-SEXE_POP_2_2;CS1_8-SEXE_POP_3_2;CS1_8-SEXE_POP_4_2;CS1_8-SEXE_POP_5_2;CS1_8-SEXE_POP_6_2;CS1_8-SEXE_POP_7_2;CS1_8-SEXE_POP_8_2;IRANC-AGE5_55_POP_ENS_ENS;IRANC-AGE5_55_POP_2_ENS;IRANC-AGE5_55_POP_3_ENS;IRANC-AGE5_55_POP_ENS_01;IRANC-AGE5_55_POP_2_01;IRANC-AGE5_55_POP_3_01;IRANC-AGE5_55_POP_ENS_15;IRANC-AGE5_55_POP_2_15;IRANC-AGE5_55_POP_3_15;IRANC-AGE5_55_POP_ENS_25;IRANC-AGE5_55_POP_2_25;IRANC-AGE5_55_POP_3_25;IRANC-AGE5_55_POP_ENS_55;IRANC-AGE5_55_POP_2_55;IRANC-AGE5_55_POP_3_55;IRANR_2_POP_ENS;IRANR_2_POP_1;IRANR_2_POP_2;IRANR_2_POP_3;IRANR_2_POP_4;IRANR_2_POP_5;IRANR_2_POP_6;IRANR_2_POP_7;SEXE-AGE15_15_90_POP_ENS_ENS;SEXE-AGE15_15_90_POP_1_ENS;SEXE-AGE15_15_90_POP_2_ENS;SEXE-AGE15_15_90_POP_ENS_00;SEXE-AGE15_15_90_POP_1_00;SEXE-AGE15_15_90_POP_2_00;SEXE-AGE15_15_90_POP_ENS_15;SEXE-AGE15_15_90_POP_1_15;SEXE-AGE15_15_90_POP_2_15;SEXE-AGE15_15_90_POP_ENS_30;SEXE-AGE15_15_90_POP_1_30;SEXE-AGE15_15_90_POP_2_30;SEXE-AGE15_15_90_POP_ENS_45;SEXE-AGE15_15_90_POP_1_45;SEXE-AGE15_15_90_POP_2_45;SEXE-AGE15_15_90_POP_ENS_60;SEXE-AGE15_15_90_POP_1_60;SEXE-AGE15_15_90_POP_2_60;SEXE-AGE15_15_90_POP_ENS_75;SEXE-AGE15_15_90_POP_1_75;SEXE-AGE15_15_90_POP_2_75;SEXE-AGE15_15_90_POP_ENS_90;SEXE-AGE15_15_90_POP_1_90;SEXE-AGE15_15_90_POP_2_90;SEXE-AGE3_B_POP_ENS_ENS;SEXE-AGE3_B_POP_1_ENS;SEXE-AGE3_B_POP_2_ENS;SEXE-AGE3_B_POP_ENS_00;SEXE-AGE3_B_POP_1_00;SEXE-AGE3_B_POP_2_00;SEXE-AGE3_B_POP_ENS_20;SEXE-AGE3_B_POP_1_20;SEXE-AGE3_B_POP_2_20;SEXE-AGE3_B_POP_ENS_65;SEXE-AGE3_B_POP_1_65;SEXE-AGE3_B_POP_2_65
200000172;2162123158;63574447;825664181;1666455895;3658691384;3463513031;4373485893;4629646084;2940200666;2931323734;0;19.217237;36.241183;301790119;480877439;580446244;0;1512751511;11585171759;50406914;666002253;1348507717;2872076375;2525673492;3145509771;1944737;957547867;7104736087;13167533;140444691;281706994;484824889;456962099;647529878;4610198714;469901288;2162123158;63574447;825664181;1666455895;3658691384;3463513031;4373485893;4629646084;2940200666;10938243211;42276861;625173331;1051688216;1834238711;815958876;3187438895;2177751914;1203716408;10682988369;21297586;200490851;614767679;1824452673;2647554154;1186046998;245189417;1736484258;3242922783;1062782689;2180140093;596489508;183977682;412511825;515621601;200421852;315199749;1824275256;602213283;1222061973;306536418;76169872;230366546;26828112888;23585190105;1062782689;1586356872;182962388;289567813;8.019269;113.233751;27163;13745242583;13417757417;5333386305;2771987637;2561398669;4796260076;2515544335;2280715741;5774436767;3018272919;2756163848;5821051999;2934392106;2886659893;3699842962;1823725697;1876117265;1557005212;626958206;930047006;181016679;54361684;126654994;27163;13745242583;13417757417;688320114;3559163279;332403786;16247150267;8354670793;7892479474;4032648593;183140851;2201240083
200000438;27686314607;215887735;771361604;1226771708;4180912662;4742938385;5421633478;7691135483;3435673552;3295795136;0;17.967852;22.079698;294652098;51619537;684476486;0;1760423632;13667913717;145579208;649818364;1008724226;3439512555;3468238403;4167429114;25165346;763446502;10722605754;70308526;103575389;195967785;446748009;758504612;569727878;7665970137;911803417;27686314607;215887735;771361604;1226771708;4180912662;4742938385;5421633478;7691135483;3435673552;13311133036;155682116;475085358;803469693;2234718712;67184889;4163067569;3516395542;1290865157;14375181571;60205619;296276246;423302015;1946193951;4071089496;125856591;4174739941;2144808395;3195730865;865805498;2329925367;712252356;238616614;473635741;585674159;115307967;470366192;1450089192;387917768;1062171424;447715159;123963149;32375201;35015097558;31819366693;865805498;1688362278;57382635;539188006;10.823103;34.169345;35445;17433745862;18011254138;7834640891;4002172655;3832468236;4968434117;2526171289;2442262828;7562434631;3800262261;376217237;6512544354;3402600483;3109943871;5661989937;2702988301;2959001636;2446611075;914571202;1532039873;458344995;84979671;373365325;35445;17433745862;18011254138;979094602;5016204133;4774741887;19208635281;9719871964;9488763317;64454187;2697669766;3747748934
200000545;14789303525;44709064;295741326;420366438;1461547373;2498678412;2566868865;5031599412;2469792635;1779956489;0;5.514356;16.527773;1055879;267977254;299190934;0;1085158272;6223639294;31790913;186287212;300246369;1129210005;1872545181;1858088348;10981929;834489336;6785707743;1291815;103939758;103592296;226749469;358155977;409589583;5020617482;550145027;14789303525;44709064;295741326;420366438;1461547373;2498678412;2566868865;5031599412;2469792635;6905595522;39592506;221840453;271124935;715022401;574763657;1972501569;2284108346;826641655;7883708003;5116557;73900873;149241502;746524973;1923914756;594367296;2747491065;164315098;1880196927;767454976;1112741951;465159025;211710077;253448948;334666989;136166104;198500885;817988248;29963563;518352617;262382664;119943164;142439501;18257063236;16376866309;767454976;471138543;177652785;391399326;36.493749;36.057548;18432;8738765797;9693234203;360790221;1770205198;1837697011;2664673545;1316759458;1347914087;3013813851;1467765765;1546048086;3525403278;1700080471;1825322807;3596763082;1683911331;1912851751;1768756912;729863339;1038893573;254687123;70180235;184506888;18432;8738765797;9693234203;4581168487;2249019106;2332149381;9460434351;4579947818;4880486533;4390397162;1909798873;2480598289
200000628;19368728487;131114975;763401107;677907329;2295379029;2819793876;3256414979;590807837;3516638823;2329355578;10;11.281844;24.574647;111477399;298478617;479899809;0;1393643261;8470527102;90903906;578664055;519825498;1816458645;2030433144;2209797495;25372238;1199072122;8568845808;3021107;173455207;133507184;367442985;490882115;566717675;5882706133;92392344;19368728487;131114975;763401107;677907329;2295379029;2819793876;3256414979;590807837;3516638823;9416738417;101539727;516858279;430098774;1238341332;549949774;2457075179;3032500684;1090374667;995199007;29575248;246542828;247808555;1057037697;2269844102;799339799;2875577686;2426264156;2331184766;923006858;1408177908;543709216;242990122;300719094;393067785;142051865;25101592;1033055961;38709412;645961842;361351804;150870752;210481052;23628517319;21297332553;923006858;594524401;9085203;624681015;6.961029;91.159432;23896;11668129113;12227870887;4634077672;2362143093;2271934579;3405833213;1707972333;169786088;4109154864;2052499284;2056655581;4766389822;2305051906;2461337916;4612714648;2221559545;2391155103;2131833682;939189924;1192643758;235996098;79713028;15628307;23896;11668129113;12227870887;5949808898;304559365;2904215249;12630083816;6203615894;6426467922;5316107286;2418919569;2897187716
200000800;8865016291;34908794;398978041;367942079;1021940471;1531595275;1320310236;3211950525;97739087;91380742;0;10.114469;0;45217899;193982769;197189162;0;46730312;3613301886;15075663;303403178;227646369;791016499;1112232261;882969207;501897;275939739;4337906986;19833131;85460394;14029571;185706073;225380245;240151866;3206931555;234148011;8865016291;34908794;398978041;367942079;1021940471;1531595275;1320310236;3211950525;97739087;4256483849;20090094;258623418;218766973;453948843;387564501;1016578214;1472150791;428761015;4608532443;148187;140354623;149175107;567991628;1144030774;303732021;1739799734;548629855;939208259;314113628;62509463;180601419;75877323;104724096;142938716;3582743;107111286;449304607;15419297;295111637;166363516;48215905;118147611;10455115631;9515907372;314113628;250971551;224168398;124998981;0.955776;23.999923;10548;5052869261;5495130739;1700958292;834604885;866353407;1384540999;686722412;697818587;1797921652;890548097;907373555;2196151922;1091337585;1104814337;2089901896;1022192526;106770937;1168818745;47031519;698503555;209706494;57148567;152557928;10548;5052869261;5495130739;2229472273;1088809102;1140663172;5597798549;2787574896;2810223653;2720729178;1176485264;1544243914
200000925;17782065974;75905164;633182926;1193922204;3113873897;3034043748;2814211642;4702163655;2214762738;2426314083;5.040244;10.161838;9.904355;167799687;361368037;376883067;0;1495156856;8800964046;45127991;506973613;1017572867;2602296297;2212868242;2031568264;35349982;34920679;6554787845;2573693;116047475;166444983;343777912;459807469;405760311;4666813673;370399092;17782065974;75905164;633182926;1193922204;3113873897;3034043748;2814211642;4702163655;2214762738;8574708081;50892473;451477205;758051464;139465569;587742823;2249307976;2264512198;818068252;9207357892;25012691;181705721;435870741;1719218207;2446300925;564903666;2437651456;1396694486;1793325821;312327875;1480997946;406663794;85503469;321160324;267303212;47679636;219623576;981008765;152866876;828141889;13835005;26277894;112072156;21777250989;19983925168;312327875;121731999;90979243;158507734;1.016184;13.174795;22004;10820266051;11183733949;4299237615;2135005281;2164232335;344696156;1751704409;1695257151;4371674981;2140084843;2231590138;489158676;2461842368;2429744392;3628092944;1785037993;1843054951;1201587852;50227049;699317361;164858288;44320667;120537621;22004;10820266051;11183733949;5806688031;2894521136;2912166895;12660896099;6307860223;6353035876;353641587;1617884692;1918531178
200000933;12559039819;199572163;436205883;418770844;1357499276;1678130574;2291290289;4871732979;1305837812;132676753;0;10.021097;5;119039289;209558604;338392061;0;64475648;4852390609;119457389;289764217;328135686;1017420811;118197605;1565975992;516574;344494725;637988168;80114774;136420569;85635158;221039176;28659592;386922236;4866567239;316586608;12559039819;199572163;436205883;418770844;1357499276;1678130574;2291290289;4871732979;1305837812;612051564;149644951;290386499;243758511;684553376;349382298;1691405053;2238106689;473278264;6438524179;49927212;145819384;175012333;6729459;1328748275;599885236;263362629;832559548;1386563687;455913485;930650203;235867327;83952271;151915056;252911922;8870584;164206082;602923651;19986468;403058971;294860788;83390694;211470094;14484115373;13097551686;455913485;47992751;168168976;234689277;14.120192;33.744248;14597;7235395375;7361604625;2092923038;1095622805;997300233;1905922914;1012194512;893728401;223657241;1136278202;1100294208;2978004252;1529820009;1448184243;3331204756;1640878819;1690325937;1784129243;733826506;1050302738;268243387;86774521;181468866;14597;7235395375;7361604625;2767153857;1460406177;130674768;7601498248;3874716591;3726781657;4228347895;1900272606;2328075289
200004802;23397538867;205380478;180792096;1845928258;2949324916;3699495693;2206464842;7336329802;3346693917;2432731767;5.28368;39.643482;35.105769;198690776;344057639;319388377;0;1490562044;10346643904;129903953;1318404521;1401417589;2182310164;2699903056;1552028762;45153723;1017522137;10618163196;70192845;449872957;409404901;568323976;655534998;335047703;7291176079;838609736;23397538867;205380478;180792096;1845928258;2949324916;3699495693;2206464842;7336329802;3346693917;1144526545;130198973;1288187045;1112848519;1289846442;889310155;1812539164;3550483678;1371851474;11952273417;75181505;519733915;733079739;1659478474;2810185537;393925678;3785846125;1974842443;2873533814;59124943;2282284384;635927334;148175102;487752232;330428979;75894026;254534954;1331765229;274842135;1056923094;575412272;92338167;483074105;27832150842;24958617028;59124943;959688493;801009544;445618281;8.922951;67.045114;28088;13786652624;14301347376;4783437502;2416993798;2366443704;34682833;1818033631;1650249669;4763985808;2289378173;2474607635;6320799471;3138727312;3182072159;5550114537;2708358851;2841755686;2812458964;1303258186;1509200778;388920418;111902672;277017746;28088;13786652624;14301347376;6192858759;3162099273;3030759486;14960516692;7375995189;7584521503;6934624549;3248558162;3686066388
200005932;12513013992;45287782;595637714;1214352217;2120104657;2003675683;1410400979;3773813162;1349741798;1432292144;0;24.101287;40.342605;151433303;229135481;17105947;0;816219998;5783802337;25119673;42124405;962688891;1626098365;1492181238;987663316;5014408;263792395;529691951;20168109;150292376;21132072;342572989;282358964;251678194;3768798753;269729405;12513013992;45287782;595637714;1214352217;2120104657;2003675683;1410400979;3773813162;1349741798;6059277361;35258923;442896204;698395697;999849727;445774187;1130159652;1739585533;567357437;6453736631;10028859;152741509;51595652;1120254931;1557901497;280241327;2034227628;78238436;1295029757;364846941;930182816;257963806;87708213;170255593;224851476;5119729;173654186;656932372;188221642;46871073;155282103;37719797;117562307;1525812655;13963096792;364846941;598725372;129977114;177913331;0.998131;22.568868;15402;7539718828;7862281172;2810568263;1459161253;1351407011;2108594525;1107290662;1001303863;2811393103;1363610559;1447782544;3292527339;1583722172;1708805167;2981366;1444063043;1537302957;1183392795;516550949;666841846;214157974;6532019;148837784;15402;7539718828;7862281172;3660267019;19216802;1738586819;8437197203;4109007892;432818931;3304535778;1509030736;1795505042
200005957;1061587437;168692846;447558486;318066251;1102154043;1569251504;1770793219;3413990042;182536798;1467880314;0;0;5;120137808;144443701;279644151;0;918654654;4498272458;113161029;316554237;223314016;830633545;1187701771;1250632963;20318609;555956287;4649721598;55531817;131004248;89752234;15138269;237106032;240516105;3393671433;350757039;1061587437;168692846;447558486;318066251;1102154043;1569251504;1770793219;3413990042;182536798;5146402892;143553971;298890695;203791237;582706304;273719403;1480538924;1569543342;593659016;5469471478;25138875;148667791;114275014;519447739;1295532101;290254294;1844446699;1231708964;126504449;45050705;81453744;333834263;131182362;202651901;220774356;76412662;144361694;542771323;185527424;357243899;167664547;57384602;110279945;12916647016;11651602526;45050705;487586585;224315831;69611309;0.992958;32.030757;13052;6375213363;6676786637;2424719935;119152208;1233197855;2136216678;1127628268;100858841;219697992;1074499694;1122480226;2668328364;1342788328;1325540036;2293782818;1151357879;1142424939;1151830213;456055402;695774811;180142071;31361712;14878036;13052;6375213363;6676786637;3351232457;1683274382;1667958075;6914167632;3486190003;3427977629;2786599911;1205748977;1580850934
