codgeo,Abstention,LePen,Melenchon,Macron,Fillon,DupontAignan,Lassalle,Hamon,Asselineau,Poutou,Arthaud,Cheminade,Abstention2,LePen2,Macron2
13001,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1
13002,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
13003,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
13005,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
13007,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
13008,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
13009,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
13012,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
13013,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
13014,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0
13015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
13016,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
13019,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
13020,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
13021,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
13022,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
13023,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
13024,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0
13025,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
13026,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
13028,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0
13029,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
13030,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
13031,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
13032,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
13033,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
13035,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0
13037,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0
13039,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
13040,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1
13041,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
13042,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
13043,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
13044,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
13046,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
13047,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
13048,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
13049,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
13050,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
13051,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
13053,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0
13054,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
13056,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
13059,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0
13060,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
13062,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
13063,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0
13069,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0
13070,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0
13071,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
13072,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
13073,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
13074,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0
13075,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
13077,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0
13078,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0
13079,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
13080,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0
13081,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0
13082,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
13084,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
13085,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0
13086,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
13087,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
13088,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
13090,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1
13091,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
13092,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
13093,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
13095,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
13098,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
13099,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
13101,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
13102,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
13103,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0
13104,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0
13105,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0
13106,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
13107,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
13109,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
13110,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
13111,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
13112,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0
13113,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
13114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
13115,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
13117,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
13118,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
13119,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0
69003,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1
69029,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1
69033,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
69034,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
69040,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
69044,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
69046,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
69063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
69068,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1
69069,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
69071,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
69072,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
69081,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
