codgeo,D1_st_Living,Median_st_Living,D9_st_Living,Interdecile_91_Ratio,Taxable_HH,Poverty_amg_Owners,Poverty_amg_Tenants,-30_Poverty,3039_Poverty,4049_Poverty,5059_Poverty,6074_Poverty,75+_Poverty,Poverty,Activity_Income,Salary_Income,Unemployment_Benef,Self-Employment,Pensions_Annuities,Estate,Social_Benef,Family_Benef,Social_Minima,Housing_Benef,Tax,taux_cumu_1_inj
200000172,13620,25420,48360,3.6,58.5,5,17.1,12.5,9.7,9.3,7.8,6.8,NA,8.7,86.2,79.3,3.1,3.8,18.8,9.1,3,1.6,0.8,0.6,-17.1,0.62
200000438,13860,21500,31380,2.3,46.7,5.4,19.8,8.9,6.1,7.7,9.5,6.7,11.1,7.8,76.1,69.9,3,3.2,26.7,6.3,5.2,3,1.4,0.8,-14.3,0.686
200000545,9840,17940,29390,3,38.3,12.3,43,37.2,34,32.4,23,16.6,NA,24.9,60.4,53.3,3.8,3.3,36.5,6.9,10,3.5,4,2.5,-13.8,0.637
200000628,10490,19440,33680,3.2,43.1,10.2,37.5,28,22.8,24.9,18.9,16.9,11.4,20.2,68,60.7,3.7,3.6,30.7,8.8,7.3,2.9,2.7,1.7,-14.8,0.592
200000800,13110,21380,34110,2.6,48.5,5.6,20.9,NA,NA,11.2,11.1,NA,NA,9.9,64.5,56.9,2.9,4.7,36.8,10.1,4.5,1.9,1.7,0.9,-15.9,0.758
200000925,14790,23600,34580,2.3,57.4,5,17.8,NA,5.3,6.8,5.7,5,NA,6,79.2,73.4,2.2,3.6,26.4,6.4,4.1,2.3,1.2,0.6,-16.1,0.727
200000933,12510,20750,33750,2.7,45.9,7.1,22.7,NA,16.3,13.7,13.6,8.1,NA,11.9,60.4,51.4,2.6,6.4,39.2,11,4.9,1.8,2,1.1,-15.5,0.749
200004802,11390,22710,40210,3.5,53.5,9.2,29.4,NA,16,16.1,14.7,12.3,11.7,14.5,67.8,57.3,3.3,7.2,33.6,13.8,3.8,1.7,1.4,0.7,-19,0.583
200005932,14290,24090,40770,2.9,60,5,19.6,NA,8,8.7,6.8,NA,NA,7.2,74.5,68.5,2.2,3.8,30.8,10.7,3.1,1.7,0.8,0.6,-19.1,0.759
200005957,10720,19280,31700,3,38.4,9.9,41.9,34.7,23.7,23.4,17.4,12.1,NA,19.1,65.7,57.1,3.3,5.3,31.8,8.8,7.6,3,2.9,1.7,-13.9,0.665
200006682,13130,22760,41940,3.2,55.2,5,20.5,13.6,11.6,11,9.8,7,7.1,9.7,73.1,59.6,2.3,11.2,28.1,14.1,3.9,1.6,1.4,0.9,-19.2,0.75
200006716,11930,20690,35650,3,49.7,6.5,27.4,NA,17,17,13.5,11.2,NA,14.3,72.3,63.8,2.8,5.7,28.4,9.5,6.2,2.7,2.1,1.4,-16.4,0.67
200006930,11490,19620,32230,2.8,39.5,10.8,29.8,NA,NA,NA,NA,NA,NA,16.2,59.6,50.1,2.3,7.2,38.4,10.4,5.4,1.9,2.3,1.2,-13.8,0.708
200006971,11630,20700,33180,2.9,47.7,6.5,30.9,26.3,18.8,16.6,16.3,8.8,7.9,14.3,59.7,51.2,2.8,5.7,40.2,10.1,5.8,2.2,2.2,1.4,-15.8,0.745
200007052,10440,18520,29590,2.8,33.9,15.8,34.5,NA,NA,NA,NA,15.2,20.2,19.4,50.1,40,2.3,7.8,47.6,10.2,5.1,1.6,2.5,1,-13,0.75
200007177,11310,19790,30850,2.7,38.3,11.4,34.5,NA,NA,NA,NA,NA,NA,16.8,58.9,50.5,2.9,5.5,38.5,8.9,7,2.4,3.2,1.4,-13.3,0.716
200010650,12070,21270,34960,2.9,48.8,5.1,28.4,20.3,16.7,16.5,13,7.9,8,13.3,68.2,61,2.6,4.6,34.3,7.7,6.1,2.3,2.4,1.4,-16.3,0.692
200010700,12440,21330,34810,2.8,48.7,5,27.5,19,13.5,13.7,12.2,7.5,8.6,12.1,74.4,67.6,2.9,3.9,28.4,6.4,6,2.7,2.1,1.2,-15.2,0.735
200011773,10680,26140,61610,5.8,41.7,5.9,27,19.5,16.2,18.7,15.7,13.9,10.8,16.1,85.1,78,3.9,3.2,19.6,8,3.2,1.1,1.2,0.9,-15.9,0.536
200011781,12210,20560,31560,2.6,43.6,8.6,27.5,NA,NA,14.1,15.8,NA,NA,12.2,64.8,56.8,2.9,5.1,36.8,6.9,5.8,2.1,2.6,1.1,-14.3,0.723
200013050,14460,23580,37480,2.6,56.8,5,18.6,NA,NA,7.3,6.1,NA,NA,6.5,76.1,69.6,2.2,4.3,30.1,7.6,2.8,1.6,0.8,0.4,-16.6,0.724
200015162,8630,17840,34880,4,39,19.6,40.1,NA,NA,32.9,28,25.2,25.7,28.5,62.1,48.5,2.6,11,35.7,10.8,7.6,1.6,4.3,1.7,-16.2,0.642
200016905,10860,18830,30890,2.8,32.6,14,33.9,NA,NA,26.4,16.2,13.7,NA,18.9,57.6,47.2,3.3,7.1,38.3,10.5,6.6,2.1,3,1.5,-13,0.675
200017341,9580,17930,31350,3.3,33.8,15,42,38.9,28.4,30.2,27.2,18.7,16.2,25.3,60.2,49.2,4.1,6.9,35.5,9.3,9.3,2.7,4.2,2.4,-14.3,0.606
200017846,12120,22280,36640,3,57.6,5,28.3,17.7,17,14.3,11.4,8.2,5.9,12.7,79.3,72.6,2.8,3.9,25,8.4,5.4,2.7,1.7,1,-18.1,0.635
200018083,11850,20200,32450,2.7,42.6,8.1,31.1,20.2,15.2,14.4,14.8,11,14.6,14.4,74.2,65.4,2.8,6,25.6,8.2,6.6,3,2.3,1.3,-14.6,0.741
200018166,15480,26550,46430,3,65.5,5,14.4,11.7,6,5.5,5.4,5,5,5.4,80.6,73.2,2.3,5.1,24.7,11.9,2.9,1.6,0.8,0.5,-20.1,0.718
200018406,11260,20540,33160,2.9,45.9,8,33.5,22.2,21.9,20.5,15.6,8.9,8.2,15.5,62.1,55.3,3,3.8,38.7,8.4,6,2.1,2.5,1.4,-15.2,0.72
200018521,11730,20060,30960,2.6,38.8,10.7,31,NA,NA,NA,NA,NA,NA,14.4,62.9,53.9,2.8,6.2,36.7,9.1,5.2,2,2.2,1,-13.9,0.731
200022986,14390,26150,47410,3.3,62.9,5,18.7,NA,9.2,8.2,7.5,5.2,5.8,7.4,77.3,65,2.7,9.6,28.6,12.7,3,1.4,1,0.6,-21.6,0.71
