codgeo,D1_st_Living,Median_st_Living,D9_st_Living,Interdecile_91_Ratio,Taxable_HH,Poverty_amg_Owners,Poverty_amg_Tenants,-30_Poverty,3039_Poverty,4049_Poverty,5059_Poverty,6074_Poverty,75+_Poverty,Poverty,Activity_Income,Salary_Income,Unemployment_Benef,Self-Employment,Pensions_Annuities,Estate,Social_Benef,Family_Benef,Social_Minima,Housing_Benef,Tax,taux_cumu_1_inj
200000172,1,1,1,1,1,0,0,0,0,0,0,0,NA,0,1,1,1,0,0,0,0,0,0,0,0,1
200000438,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0
200000545,0,0,0,1,0,1,1,1,1,1,1,1,NA,1,0,0,1,0,1,0,1,1,1,1,1,1
200000628,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
200000800,1,1,0,0,1,0,0,NA,NA,0,0,NA,NA,0,0,0,1,0,1,1,0,0,0,0,1,0
200000925,1,1,0,0,1,0,0,NA,0,0,0,0,NA,0,1,1,0,0,0,0,0,1,0,0,0,0
200000933,1,0,0,0,0,1,0,NA,1,0,0,0,NA,0,0,0,0,1,1,1,0,0,1,1,1,0
200004802,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
200005932,1,1,1,1,1,0,0,NA,0,0,0,NA,NA,0,1,1,0,0,1,1,0,0,0,0,0,0
200005957,0,0,0,1,0,1,1,1,1,1,1,1,NA,1,0,0,1,0,1,0,1,1,1,1,1,0
200006682,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
200006716,0,0,1,1,1,0,1,NA,1,1,0,1,NA,1,1,1,1,1,0,1,1,1,1,1,0,0
200006930,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,0,1,1,1,0
200006971,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
200007052,0,0,0,0,0,1,1,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0
200007177,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,1,1,1,1,1,0
200010650,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
200010700,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0
200011773,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
200011781,1,0,0,0,0,1,1,NA,NA,0,1,NA,NA,0,0,0,1,0,1,0,1,1,1,1,1,0
200013050,1,1,1,0,1,0,0,NA,NA,0,0,NA,NA,0,1,1,0,0,1,0,0,0,0,0,0,0
200015162,0,0,0,1,0,1,1,NA,NA,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
200016905,0,0,0,0,0,1,1,NA,NA,1,1,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,0
200017341,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
200017846,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
200018083,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
200018166,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
200018406,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0
200018521,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,1,0,1,0,1,0
200022986,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
200023075,1,1,1,1,1,0,0,NA,NA,0,0,0,NA,0,1,1,1,0,0,0,0,0,0,0,0,1
200023125,1,1,1,1,1,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,0,0,0,0,0,0
200023240,0,1,1,1,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,1,1,1,1,1,0,0
200023299,0,1,1,1,1,0,0,NA,1,1,1,NA,NA,1,1,0,1,1,0,1,0,0,0,0,0,0
200023307,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
200023372,1,1,1,1,1,1,0,NA,0,0,0,0,NA,0,1,0,1,1,0,1,0,0,0,0,0,0
200023414,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0
200023620,1,1,1,1,1,0,0,NA,0,0,0,0,NA,0,1,1,0,0,0,1,0,1,0,0,0,0
200023737,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
200023778,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
200023794,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
200023919,0,1,1,1,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,0,1,1,0,0,0,0
200026573,0,0,1,1,1,0,1,0,1,1,0,0,NA,1,0,1,1,0,1,0,1,1,1,1,0,1
200027027,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0
200027076,0,0,0,0,0,1,1,NA,1,1,NA,NA,NA,1,0,0,0,0,1,0,1,0,1,1,1,0
