codgeo;SEXE-AGE3_B_POP_ENS_ENS;SEXE-AGE3_B_POP_1_ENS;SEXE-AGE3_B_POP_2_ENS;SEXE-AGE3_B_POP_ENS_00;SEXE-AGE3_B_POP_1_00;SEXE-AGE3_B_POP_2_00;SEXE-AGE3_B_POP_ENS_20;SEXE-AGE3_B_POP_1_20;SEXE-AGE3_B_POP_2_20;SEXE-AGE3_B_POP_ENS_65;SEXE-AGE3_B_POP_1_65;SEXE-AGE3_B_POP_2_65;CS1_8-SEXE_POP_ENS_ENS;CS1_8-SEXE_POP_1_ENS;CS1_8-SEXE_POP_2_ENS;CS1_8-SEXE_POP_3_ENS;CS1_8-SEXE_POP_4_ENS;CS1_8-SEXE_POP_5_ENS;CS1_8-SEXE_POP_6_ENS;CS1_8-SEXE_POP_7_ENS;CS1_8-SEXE_POP_8_ENS;CS1_8-SEXE_POP_ENS_1;CS1_8-SEXE_POP_1_1;CS1_8-SEXE_POP_2_1;CS1_8-SEXE_POP_3_1;CS1_8-SEXE_POP_4_1;CS1_8-SEXE_POP_5_1;CS1_8-SEXE_POP_6_1;CS1_8-SEXE_POP_7_1;CS1_8-SEXE_POP_8_1;CS1_8-SEXE_POP_ENS_2;CS1_8-SEXE_POP_1_2;CS1_8-SEXE_POP_2_2;CS1_8-SEXE_POP_3_2;CS1_8-SEXE_POP_4_2;CS1_8-SEXE_POP_5_2;CS1_8-SEXE_POP_6_2;CS1_8-SEXE_POP_7_2;CS1_8-SEXE_POP_8_2;IRANC-AGE5_55_POP_ENS_ENS;IRANC-AGE5_55_POP_2_ENS;IRANC-AGE5_55_POP_3_ENS;IRANC-AGE5_55_POP_ENS_01;IRANC-AGE5_55_POP_2_01;IRANC-AGE5_55_POP_3_01;IRANC-AGE5_55_POP_ENS_15;IRANC-AGE5_55_POP_2_15;IRANC-AGE5_55_POP_3_15;IRANC-AGE5_55_POP_ENS_25;IRANC-AGE5_55_POP_2_25;IRANC-AGE5_55_POP_3_25;IRANC-AGE5_55_POP_ENS_55;IRANC-AGE5_55_POP_2_55;IRANC-AGE5_55_POP_3_55;IRANR_2_POP_ENS;IRANR_2_POP_1;IRANR_2_POP_2;IRANR_2_POP_3;IRANR_2_POP_4;IRANR_2_POP_5;IRANR_2_POP_6;IRANR_2_POP_7;SEXE-AGE15_15_90_POP_ENS_ENS;SEXE-AGE15_15_90_POP_1_ENS;SEXE-AGE15_15_90_POP_2_ENS;SEXE-AGE15_15_90_POP_ENS_00;SEXE-AGE15_15_90_POP_1_00;SEXE-AGE15_15_90_POP_2_00;SEXE-AGE15_15_90_POP_ENS_15;SEXE-AGE15_15_90_POP_1_15;SEXE-AGE15_15_90_POP_2_15;SEXE-AGE15_15_90_POP_ENS_30;SEXE-AGE15_15_90_POP_1_30;SEXE-AGE15_15_90_POP_2_30;SEXE-AGE15_15_90_POP_ENS_45;SEXE-AGE15_15_90_POP_1_45;SEXE-AGE15_15_90_POP_2_45;SEXE-AGE15_15_90_POP_ENS_60;SEXE-AGE15_15_90_POP_1_60;SEXE-AGE15_15_90_POP_2_60;SEXE-AGE15_15_90_POP_ENS_75;SEXE-AGE15_15_90_POP_1_75;SEXE-AGE15_15_90_POP_2_75;SEXE-AGE15_15_90_POP_ENS_90;SEXE-AGE15_15_90_POP_1_90;SEXE-AGE15_15_90_POP_2_90
13001;143097;6805677119;7504022881;30677209558;15341595126;15335614433;8511540823;41681104505;43434303725;27304382211;1103407156;16270310652;123702989066;196.491412;4440476638;19769889434;17782243763;17027553831;7545443036;27276096799;29664794154;57942763534;125.338202;309921439;1169598947;7703863341;5463220212;6189708116;11521279632;12144150171;65760225532;71.15321;1341262247;8073899964;10078380422;11564333619;135573492;15754817167;17520643983;2452993278;11623019238;12906913542;2578243788;1385.227152;1193016635;8847276026;3362.576683;5484699343;10853782147;5753476442;5100305706;2250630819;1121.738961;1128891858;141714618539;117184685759;11623019238;4261001842;2037.130458;4929.772711;96.54422;1582.464312;143097;6805677119;7504022881;19369626579;10020517669;934910891;3729573414;18341583093;18954151047;25782648948;13016618113;12766030836;25686464363;12100857257;13585607106;21214869758;942591866;11788951098;11672611226;462556273;7047048496;2075044986;525.713668;1549331318
13002;20860;10090898968;10769101032;4507255267;2354907164;2152348102;11581078249;5604962629;5976115619;4771666485;2131029175;264063731;1749759339;10.011524;779423724;2091533065;3139709362;2617271976;1229958486;5274833684;235485157;8312488818;8.992558;571259171;1200698768;1398589933;687098153;1107038404;2471327969;867483861;9185104572;1.018966;208164552;890834297;1741119429;1930173823;122920082;2803505715;1487367708;1831210371;551565888;1279644483;397648488;122.568847;275079641;185900852;41.24857;144652282;955878788;29750375;658375039;291782243;90.244722;201537521;20684432511;1885322214;551565888;1054198141;53.010352;154.066225;5.621019;12.748745;20860;10090898968;10769101032;3357281298;1748783759;1608497539;2910572969;1479865123;1430707846;3605174525;1729500164;1875674361;4652531267;2229664217;242286705;4088611261;2000376094;2088235167;1925241705;80344476;1121796945;320586975;99.26485;221322125
13003;2516;1271530889;1244469111;630779917;332579758;298200159;1494770514;759330651;735439863;390449568;17962048;210829089;2097354728;4.728127;141332857;212623612;30929618;319483971;237457769;457348719;415083493;1063308431;4.728127;110935317;137779962;15463851;79836247;176779241;250453888;14815714;1034046297;0;3039754;7484365;15465767;239647723;60678528;206894831;266926353;287560121;61178649;226381472;63760977;20.401021;43359955;28508177;2.890425;25617751;162529984;34805197;127724787;32760984;3.082006;29678978;2495313719;2207753598;61178649;161836569;11.345737;47.204118;0;5.995047;2516;1271530889;1244469111;481865457;248717261;233148195;361136385;195228228;165908157;486039473;243751842;24228763;601705776;299727744;301978032;415583223;207916999;207666224;149008084;69108636;79899448;20661602;7.080178;13581424
13005;47208;22358525477;24849474523;11406738375;5771510201;5635228174;25865537392;12494064938;13371472454;9935724232;4092950338;5842773895;38667787122;53.104562;1172326511;2967404367;5457841871;7229681176;4037613883;10870002927;6879811826;1807604579;31.049079;837395912;1787738575;2509566557;2205630167;3287231188;4743253523;2674180789;20591741333;22.055484;334930599;1179665793;2948275314;5024051009;750382695;6126749403;4205631037;4937333833;2201471252;2735862581;1006370136;473.724523;532645613;786365895;374.114271;412251624;2560432571;1079010132;1481422439;584165232;274.622326;309542905;46685240074;4174790624;2201471252;1700661916;265.80011;582.089621;30.11124;157.199694;47208;22358525477;24849474523;8537212851;4265479537;4271733314;8009177989;4064385294;3944792695;8393539623;4117644967;4275894656;9522201457;4531223434;4990978023;781823265;3490626913;4327605737;4232688524;1690539306;2542149218;694946906;198.626027;496320879
13007;12771;6448333689;6322666311;2937829002;1580856195;1356972807;7423756902;374016348;3683593422;2409414096;1127314013;1282100083;10583911199;30.120415;552345805;1177195695;1778417789;1701477712;940970011;2724789508;1678594264;5326415693;24.088767;429415845;694877711;79671242;451051455;798428787;1377641644;754199063;5257495506;6.031648;12292996;482317984;981705369;1250426257;142541224;1347147864;9243952;1352555874;486358894;86619698;274252393;131.486347;142766046;174587327;46.292551;128294776;694572459;250876872;443695588;209143695;57.703124;15144057;12628153368;11275597494;486358894;603574638;119.522034;110.273569;0.999977;31.826762;12771;6448333689;6322666311;2178089006;1114918155;1063170851;200427625;1140934072;863342178;2510483705;1237692663;1272791042;2788562163;1375138532;1413423631;2328319272;1180133734;1148185537;861677265;375021279;486655987;99592339;24.495253;75097085
13008;560;279;281;137;66;71;295;150;145;128;63;65;470;5;20;95;95;50;0;155;50;240;5;15;50;45;20;0;80;25;230;0;5;45;50;30;0;75;25;49;6;43;14;1;13;2;0;2;29;5;24;4;0;4;559;510;6;19;5;11;0;8;560;279;281;107;53;54;58;30;28;97;49;48;123;61;62;131;64;67;43;22;21;1;0;1
13009;836;401569636;434430364;187842888;92934048;94908841;522337926;253206733;269131193;125819186;55428856;7039033;731818503;4.977665;34843657;109508636;121129969;124441632;82974649;119524992;134417304;356786922;0;24888326;89597975;51442655;19910661;68041653;58086323;44819329;375031581;4.977665;9955331;19910661;69687314;104530971;14932996;61438669;89597975;110569263;17919595;92649668;2621706;5.973198;20243862;15952939;0;15952939;5243412;10950864;41483256;15965144;0.995533;14969611;828035736;717466473;17919595;64079863;3.323868;22.921671;0;2.324267;836;401569636;434430364;134730163;65042849;69687314;134421372;63072125;71349248;146014227;75660512;70353715;240923067;118139301;122783766;130756167;59736052;71020116;41836799;18256864;23579935;7318205;1.661934;5656271
13012;586;256;330;93;44;49;266;120;146;227;92;135;545;0;5;80;65;75;25;210;85;240;0;5;50;30;10;15;110;20;305;0;0;30;35;65;10;100;65;57;4;53;16;1;15;4;0;4;28;1;27;9;2;7;583;526;4;25;18;3;7;0;586;256;330;67;30;37;67;30;37;75;40;35;106;45;61;130;63;67;80;32;48;61;16;45
13013;1919;934654275;984345725;469094564;242098025;226996539;1103511734;548676416;554835318;346393702;143879834;202513868;1617721056;0;60994788;196308888;333883313;172843637;100629463;446680703;306380263;774837414;0;45788709;13588223;161951172;20360873;75561225;205103262;130189942;842883642;0;15206079;60426658;171932142;152482764;25068238;24157744;176190321;178584512;68410169;110174343;35623935;16.871223;18752712;20097965;8.028056;12069908;89104946;29234886;59870059;33757666;14.276003;19481663;1898025228;1719440716;68410169;67999048;6.148965;25.363106;0;10.663224;1919;934654275;984345725;335394808;171109376;164285432;280648139;14591698;134731159;359702156;171195756;1885064;477084702;235137479;241947223;316293043;156805137;159487905;123599163;52459129;71140033;2627799;2.030418;24247572
13014;13520;6853561033;6666438967;332206738;18216093;150045808;7526304264;3774458097;3751846167;2671628356;1257493636;141413472;11024986247;73.805185;343363232;262095903;1286221556;2063186111;2014967748;2392112113;2589234399;549379038;59.484623;259106701;159432198;702978277;445546425;1619477657;1208341286;1039423213;5531195867;14.320562;8425653;102663706;583243279;1617639686;395490092;1183770827;1549811185;1347723106;804120361;543602745;32511357;204.616099;120497471;194286575;100.580866;93705709;665770995;388836231;276934764;162551967;110.087165;52464802;13371452631;12023729525;804120361;459085224;1.074348;51.212501;0;32.230673;13520;6853561033;6666438967;2493013705;1352770485;114024322;231970621;120769238;111201383;2504209688;1208181295;1296028393;2755933773;1407187327;1348746447;2154777509;1130776668;1024000842;1112467397;49499658;617470816;179891718;51.956299;127935419
13015;14784;7126913489;7657086511;3268017007;1649870764;1618146243;8106605702;3997988433;4108617269;3409377291;1479054292;1930322999;12365774926;3.536094;509261452;2166558891;1960392046;1534962781;693277237;3548981431;1948804995;5882901588;3.536094;356871372;1281551002;833833405;386544812;558936328;1654006772;807621803;6482873338;0;15239008;885007889;112655864;1148417969;134340909;1894974659;1141183191;1498536862;356537399;1141999462;354636833;109.511665;245125168;21099615;38.895471;172100679;770134961;183089091;587045869;162768918;25.041172;137727746;14668949541;1317041268;356537399;801589669;38.533153;218.586768;0;83.289873;14784;7126913489;7657086511;2419653955;1255470688;1164183267;2054782708;1029396943;1025385765;2611089558;1257899763;1353189795;3369007426;1636407575;1732599851;2684260801;129081222;1393448581;1451343405;609491522;841851883;193862147;47.434778;14642737
13016;6254;3018;3236;1481;777;704;3456;1678;1778;1317;563;754;5115;0;200;535;840;695;375;1595;875;2355;0;135;335;355;155;325;730;320;2760;0;65;200;485;540;50;865;555;461;76;385;102;17;85;67;16;51;248;36;212;44;7;37;6197;5736;76;287;37;53;4;4;6254;3018;3236;1106;592;514;906;452;454;1127;549;578;1373;671;702;1160;533;627;505;203;302;77;18;59
