"","insee","nom","surf_km2"
"1","93053","Noisy-le-Sec","504"
"2","91432","Morangis","480"
"3","93079","Villetaneuse","230"
"4","94071","Sucy-en-Brie","1041"
"5","91687","Viry-Châtillon","613"
"6","94075","Villecresnes","563"
"7","92002","Antony","955"
"8","93064","Rosny-sous-Bois","591"
"9","94041","Ivry-sur-Seine","611"
"10","93031","Épinay-sur-Seine","458"
"11","94033","Fontenay-sous-Bois","556"
"12","94018","Charenton-le-Pont","185"
"13","94022","Choisy-le-Roi","542"
"14","94034","Fresnes","355"
"15","92026","Courbevoie","416"
"16","93070","Saint-Ouen-sur-Seine","431"
"17","92076","Vaucresson","309"
"18","69205","Saint-Genis-les-Ollières","376"
"19","69044","Charbonnières-les-Bains","412"
"20","69290","Saint-Priest","2971"
"21","69194","Saint-Didier-au-Mont-d'Or","833"
"22","69266","Villeurbanne","1494"
"23","69096","Grigny","593"
"24","69279","Jonage","1213"
"25","69199","Saint-Fons","601"
"26","69282","Meyzieu","2337"
"27","69286","Rillieux-la-Pape","1455"
"28","69284","Montanay","726"
"29","69256","Vaulx-en-Velin","2109"
"30","69143","Neuville-sur-Saône","546"
"31","69071","Curis-au-Mont-d'Or","308"
"32","69207","Saint-Germain-au-Mont-d'Or","542"
"33","69278","Genay","865"
"34","69088","Fontaines-sur-Saône","232"
"35","93013","Le Bourget","209"
"36","93014","Clichy-sous-Bois","396"
"37","93029","Drancy","776"
"38","93073","Tremblay-en-France","2262"
"39","94079","Villiers-sur-Marne","431"
"40","92032","Fontenay-aux-Roses","253"
"41","92019","Châtenay-Malabry","637"
"42","93008","Bobigny","678"
"43","94002","Alfortville","367"
"44","92035","La Garenne-Colombes","178"
"45","92063","Rueil-Malmaison","1453"
"46","92064","Saint-Cloud","751"
"47","92022","Chaville","357"
"48","92004","Asnières-sur-Seine","482"
"49","13024","Charleval","1445"
"50","13049","Lamanon","1950"
"51","13008","Aurons","1260"
"52","84089","Pertuis","5923"
"53","94001","Ablon-sur-Seine","114"
"54","94055","Ormesson-sur-Marne","342"
"55","94044","Limeil-Brévannes","692"
"56","91589","Savigny-sur-Orge","698"
"57","92075","Vanves","155"
"58","92040","Issy-les-Moulineaux","425"
"59","94069","Saint-Maurice","146"
"60","92071","Sceaux","360"
"61","94077","Villeneuve-le-Roi","842"
"62","93049","Neuilly-Plaisance","342"
"63","94081","Vitry-sur-Seine","1166"
"64","94046","Maisons-Alfort","533"
"65","92025","Colombes","780"
"66","92060","Le Plessis-Robinson","341"
"67","92046","Malakoff","207"
"68","92020","Châtillon","292"
"69","94053","Noiseau","457"
"70","94047","Mandres-les-Roses","336"
"71","93015","Coubron","419"
"72","93046","Livry-Gargan","736"
"73","93078","Villepinte","1037"
"74","93074","Vaujours","371"
"75","94058","Le Perreux-sur-Marne","396"
"76","94015","Bry-sur-Marne","335"
"77","94048","Marolles-en-Brie","460"
"78","94076","Villejuif","529"
"79","93059","Pierrefitte-sur-Seine","340"
"80","95018","Argenteuil","1738"
"81","92078","Villeneuve-la-Garenne","319"
"82","94068","Saint-Maur-des-Fossés","1123"
"83","93051","Noisy-le-Grand","1320"
"84","92023","Clamart","876"
"85","93001","Aubervilliers","575"
"86","92072","Sèvres","394"
"87","93007","Le Blanc-Mesnil","806"
"88","93030","Dugny","386"
"89","93072","Stains","541"
"90","93071","Sevran","728"
"91","94067","Saint-Mandé","91"
"92","93027","La Courneuve","750"
"93","93063","Romainville","343"
"94","93010","Bondy","547"
"95","94080","Vincennes","191"
"96","92062","Puteaux","319"
"97","93066","Saint-Denis","1237"
"98","92047","Marnes-la-Coquette","347"
"99","94042","Joinville-le-Pont","228"
"100","92009","Bois-Colombes","192"
"101","94011","Bonneuil-sur-Marne","549"
"102","91027","Athis-Mons","859"
"103","94059","Le Plessis-Trévise","432"
"104","94004","Boissy-Saint-Léger","892"
"105","94054","Orly","668"
"106","94065","Rungis","420"
"107","94028","Créteil","1146"
"108","94037","Gentilly","118"
"109","94043","Le Kremlin-Bicêtre","154"
"110","94073","Thiais","644"
"111","94038","L'Haÿ-les-Roses","391"
"112","94003","Arcueil","233"
"113","92007","Bagneux","418"
"114","92033","Garches","271"
"115","92077","Ville-d'Avray","369"
"116","69202","Sainte-Foy-lès-Lyon","683"
"117","69046","Charly","517"
"118","69275","Décines-Charpieu","1711"
"119","69149","Oullins","439"
"120","93005","Aulnay-sous-Bois","1622"
"121","94052","Nogent-sur-Marne","280"
"122","94074","Valenton","533"
"123","93050","Neuilly-sur-Marne","697"
"124","93055","Pantin","501"
"125","94021","Chevilly-Larue","421"
"126","94078","Villeneuve-Saint-Georges","808"
