"","X_CENTROID","Y_CENTROID","SUPERFICIE","SIREN"
"1",965024,6557601,11513,200000172
"2",317100,6720287,32717,200000438
"3",751848,6822642,10509,200000545
"4",837136,6353222,15058,200000628
"5",629474,6723462,34257,200000800
"6",866901,6682848,19518,200000925
"7",653115,6706394,97456,200000933
"8",1000962,6285572,40800,200004802
"9",620802,6737402,41726,200005932
"10",968641,6813763,32896,200005957
"11",835217,6656547,55881,200006682
"12",738015,6821854,29585,200006716
"13",761329,6403932,26227,200006930
"14",544761,6796608,28157,200006971
"15",607091,6598049,28636,200007052
"16",684706,6651820,25421,200007177
"17",889353,6670850,42658,200010650
"18",524487,6942990,57594,200010700
"19",952292,6571678,7782,200011773
"20",697909,6654081,29055,200011781
"21",1049016,6881863,19782,200013050
"22",1229325,6146523,47466,200015162
"23",823871,6434787,22385,200016905
"24",728078,6297876,55465,200017341
"25",635717,6810120,47310,200017846
"26",616346,7065490,24838,200018083
"27",931178,6471618,64735,200018166
"28",606226,6692638,49232,200018406
"29",607468,6612356,28017,200018521
"30",766604,6297083,57658,200022986
"31",989828,6693957,38524,200023075
"32",677113,6849827,6755,200023125
"33",669930,6796348,22392,200023240
"34",976550,6492842,16413,200023299
"35",515034,6365382,35582,200023307
"36",998328,6546792,35018,200023372
"37",557757,6925529,66414,200023414
"38",542931,6279106,23781,200023620
"39",574859,6378989,59433,200023737
"40",329873,6633022,29390,200023778
"41",417376,6453290,20514,200023794
"42",678035,6787631,33761,200023919
"43",917862,6588519,35084,200026573
"44",294569,6730399,35165,200027027
"45",647654,6637921,36167,200027076
"46",965430,6239813,43118,200027100
"47",688245,6181083,64666,200027183
"48",557062,6422924,23443,200027217
"49",863932,6741213,76548,200027308
"50",456909,6485474,61708,200029734
"51",886322,6555354,17043,200029999
"52",1037769,6319562,146373,200030195
"53",569141,6720723,79336,200030385
"54",434956,6291421,30240,200030435
"55",1039538,6800824,18577,200030526
"56",732112,7000875,37446,200030633
"57",909848,6421449,63552,200030658
"58",477860,6379395,67155,200030674
"59",692786,6671574,27800,200032514
"60",864311,6850227,40061,200033025
"61",681346,6876269,14461,200033090
"62",975953,6555399,20233,200033116
"63",626566,6846213,8505,200033173
"64",589923,6815452,86373,200033181
"65",446887,6788605,69137,200033298
"66",684660,7020049,30775,200033579
"67",1223258,6123236,64956,200033827
"68",982457,6761766,19417,200033868
"69",601164,6287206,26048,200034023
"70",652596,6309062,34098,200034031
"71",634840,6301606,26467,200034049
"72",623903,6287286,39731,200034056
"73",613049,6333372,25865,200034064
"74",982543,6561850,35014,200034098
"75",619862,6865696,9587,200034130
"76",472261,6426782,26541,200034197
"77",1232484,6160934,18542,200034205
"78",1028542,6818861,19166,200034270
"79",811179,6328993,47939,200034379
"80",780017,6316970,45273,200034411
"81",748759,6332330,43019,200034601
"82",1037642,6848471,13726,200034635
"83",826276,6342823,63326,200034692
"84",936185,6307914,84380,200034700
"85",811333,6844457,52671,200034718
"86",528757,6300547,42831,200034726
"87",612179,6563081,48245,200034825
"88",525615,6412616,66824,200034833
"89",897884,6870166,43056,200034874
"90",982873,6537565,43568,200034882
"91",572176,6300200,16233,200034957
"92",851574,6307022,25883,200035087
"93",503393,6831852,28203,200035103
"94",487513,6838258,34976,200035111
"95",797375,6352250,32178,200035129
"96",568647,6597909,51400,200035137
"97",794427,6560682,28013,200035202
"98",1003386,6271394,35252,200035319
"99",560509,6393805,24972,200035327
"100",689904,7002529,42755,200035442
"101",512034,6344298,48313,200035459
"102",455913,6428186,23807,200035533
"103",447927,6332757,106895,200035541
"104",455101,6290119,28016,200035632
"105",616381,6234639,48696,200035707
"106",653185,6235625,106760,200035715
"107",887527,6332758,40408,200035723
"108",775963,6552894,69480,200035731
"109",487235,6262421,38410,200035756
"110",608587,6770606,40102,200035764
"111",932225,6822333,35059,200035772
"112",442673,6853827,57274,200035814
"113",563057,6653571,27599,200035848
"114",609970,6248325,49678,200035855
"115",672674,6221042,82359,200035863
"116",623500,6891432,24286,200035970
"117",517393,6827005,40596,200036069
"118",988593,6245929,43395,200036077
"119",663623,6626118,38296,200036135
"120",914639,6749697,49194,200036150
"121",1007843,6752580,15761,200036465
"122",421513,6521767,47643,200036473
"123",1224331,6180821,18237,200036499
"124",517539,6390428,67655,200036523
"125",894790,6705745,49963,200036549
"126",526991,6349344,16940,200036572
"127",698427,6985055,46620,200037059
"128",722160,6835151,60493,200037133
"129",1198242,6104939,65808,200038958
"130",322020,6799992,33271,200038990
"131",385213,6784298,88001,200039022
"132",832287,6691187,31957,200039055
"133",838893,6707923,42603,200039063
"134",403959,6266500,73389,200039204
"135",563871,6360690,35042,200039519
"136",781285,6748833,79170,200039642
"137",777621,6724888,52883,200039709
"138",763338,6710347,72611,200039758
"139",809384,6371952,41461,200039808
"140",798480,6398227,26695,200039824
"141",789214,6368992,33110,200039832
"142",1009001,6300564,49164,200039857
"143",930280,6893689,30618,200039865
"144",940615,6881233,24965,200039907
"145",1021102,6280744,9752,200039915
"146",1017734,6328448,88032,200039931
"147",932094,6907017,12657,200039949
"148",856631,6644798,31873,200040038
"149",501609,6449003,28734,200040095
"150",917793,6485432,35614,200040111
"151",811389,6817255,44272,200040137
"152",1060737,6881219,11990,200040178
"153",936849,6282114,64941,200040202
"154",966941,6294859,55766,200040210
"155",429027,6642905,124825,200040244
"156",715334,6816958,42328,200040251
"157",576339,6848588,106377,200040277
"158",822475,6600897,45075,200040293
"159",907789,6525745,54366,200040350
"160",476040,6441289,23761,200040384
"161",522287,6450056,101843,200040392
"162",494733,6469548,68585,200040400
"163",544514,6354656,45202,200040418
"164",729685,6964196,32916,200040426
"165",876928,6305156,36089,200040442
"166",846726,6389168,38266,200040459
"167",465496,6768484,46373,200040475
