codgeo;TP-SEXE-AGE3P_NBSAL_ENS_ENS_ENS;TP-SEXE-AGE3P_NBSAL_1_ENS_ENS;TP-SEXE-AGE3P_NBSAL_2_ENS_ENS;TP-SEXE-AGE3P_NBSAL_ENS_1_ENS;TP-SEXE-AGE3P_NBSAL_1_1_ENS;TP-SEXE-AGE3P_NBSAL_2_1_ENS;TP-SEXE-AGE3P_NBSAL_ENS_2_ENS;TP-SEXE-AGE3P_NBSAL_1_2_ENS;TP-SEXE-AGE3P_NBSAL_2_2_ENS;TP-SEXE-AGE3P_NBSAL_ENS_ENS_15;TP-SEXE-AGE3P_NBSAL_1_ENS_15;TP-SEXE-AGE3P_NBSAL_2_ENS_15;TP-SEXE-AGE3P_NBSAL_ENS_1_15;TP-SEXE-AGE3P_NBSAL_1_1_15;TP-SEXE-AGE3P_NBSAL_2_1_15;TP-SEXE-AGE3P_NBSAL_ENS_2_15;TP-SEXE-AGE3P_NBSAL_1_2_15;TP-SEXE-AGE3P_NBSAL_2_2_15;TP-SEXE-AGE3P_NBSAL_ENS_ENS_25;TP-SEXE-AGE3P_NBSAL_1_ENS_25;TP-SEXE-AGE3P_NBSAL_2_ENS_25;TP-SEXE-AGE3P_NBSAL_ENS_1_25;TP-SEXE-AGE3P_NBSAL_1_1_25;TP-SEXE-AGE3P_NBSAL_2_1_25;TP-SEXE-AGE3P_NBSAL_ENS_2_25;TP-SEXE-AGE3P_NBSAL_1_2_25;TP-SEXE-AGE3P_NBSAL_2_2_25;TP-SEXE-AGE3P_NBSAL_ENS_ENS_55;TP-SEXE-AGE3P_NBSAL_1_ENS_55;TP-SEXE-AGE3P_NBSAL_2_ENS_55;TP-SEXE-AGE3P_NBSAL_ENS_1_55;TP-SEXE-AGE3P_NBSAL_1_1_55;TP-SEXE-AGE3P_NBSAL_2_1_55;TP-SEXE-AGE3P_NBSAL_ENS_2_55;TP-SEXE-AGE3P_NBSAL_1_2_55;TP-SEXE-AGE3P_NBSAL_2_2_55;TP-SEXE-AGE3P_NBSAL_ENS_ENS_65;TP-SEXE-AGE3P_NBSAL_1_ENS_65;TP-SEXE-AGE3P_NBSAL_2_ENS_65;TP-SEXE-AGE3P_NBSAL_ENS_1_65;TP-SEXE-AGE3P_NBSAL_1_1_65;TP-SEXE-AGE3P_NBSAL_2_1_65;TP-SEXE-AGE3P_NBSAL_ENS_2_65;TP-SEXE-AGE3P_NBSAL_1_2_65;TP-SEXE-AGE3P_NBSAL_2_2_65;EMPL-SEXE_POP_ENS_ENS;EMPL-SEXE_POP_11_ENS;EMPL-SEXE_POP_12_ENS;EMPL-SEXE_POP_13_ENS;EMPL-SEXE_POP_14_ENS;EMPL-SEXE_POP_15_ENS;EMPL-SEXE_POP_16_ENS;EMPL-SEXE_POP_21_ENS;EMPL-SEXE_POP_22_ENS;EMPL-SEXE_POP_23_ENS;EMPL-SEXE_POP_ENS_1;EMPL-SEXE_POP_11_1;EMPL-SEXE_POP_12_1;EMPL-SEXE_POP_13_1;EMPL-SEXE_POP_14_1;EMPL-SEXE_POP_15_1;EMPL-SEXE_POP_16_1;EMPL-SEXE_POP_21_1;EMPL-SEXE_POP_22_1;EMPL-SEXE_POP_23_1;EMPL-SEXE_POP_ENS_2;EMPL-SEXE_POP_11_2;EMPL-SEXE_POP_12_2;EMPL-SEXE_POP_13_2;EMPL-SEXE_POP_14_2;EMPL-SEXE_POP_15_2;EMPL-SEXE_POP_16_2;EMPL-SEXE_POP_21_2;EMPL-SEXE_POP_22_2;EMPL-SEXE_POP_23_2;EMPL-SEXE_NBEMP_ENS_ENS;EMPL-SEXE_NBEMP_ENS_1;EMPL-SEXE_NBEMP_ENS_2;EMPL-SEXE_NBEMP_11_ENS;EMPL-SEXE_NBEMP_11_1;EMPL-SEXE_NBEMP_11_2;EMPL-SEXE_NBEMP_12_ENS;EMPL-SEXE_NBEMP_12_1;EMPL-SEXE_NBEMP_12_2;EMPL-SEXE_NBEMP_13_ENS;EMPL-SEXE_NBEMP_13_1;EMPL-SEXE_NBEMP_13_2;EMPL-SEXE_NBEMP_14_ENS;EMPL-SEXE_NBEMP_14_1;EMPL-SEXE_NBEMP_14_2;EMPL-SEXE_NBEMP_15_ENS;EMPL-SEXE_NBEMP_15_1;EMPL-SEXE_NBEMP_15_2;EMPL-SEXE_NBEMP_16_ENS;EMPL-SEXE_NBEMP_16_1;EMPL-SEXE_NBEMP_16_2;EMPL-SEXE_NBEMP_21_ENS;EMPL-SEXE_NBEMP_21_1;EMPL-SEXE_NBEMP_21_2;EMPL-SEXE_NBEMP_22_ENS;EMPL-SEXE_NBEMP_22_1;EMPL-SEXE_NBEMP_22_2;EMPL-SEXE_NBEMP_23_ENS;EMPL-SEXE_NBEMP_23_1;EMPL-SEXE_NBEMP_23_2;ILTR_POP_ENS;ILTR_POP_1;ILTR_POP_2;ILTR_POP_3;ILTR_POP_4;ILTR_POP_5;TRANS_19_POP_ENS;TRANS_19_POP_1;TRANS_19_POP_2;TRANS_19_POP_3;TRANS_19_POP_4;TRANS_19_POP_5;TRANS_19_POP_6
200000172;11608137172;9679476804;1928660368;6058096147;5672496915;385599232;5550041025;4006979889;1543061136;1152138325;952169828;199968497;686060373;576839239;109221134;466077953;37533059;90747363;8865288895;7489424773;1375864122;4612933331;4427270008;185663323;4252355565;3062154765;1190200799;1499778315;1204629772;295148543;720952066;650667707;70284358;778826249;553962065;224864185;90931636;33.252431;57679206;38150379;17.719962;20.430417;52781258;15532469;37.248789;1295189591;224880737;496962821;4461557;22.800426;951417024;9867460595;704819648;620915979;18023111;6921812229;155221367;271300878;18152196;7.250384;397276199;5208895125;408020147;447803047;7.892888;6030083681;6965937;225.661944;26463374;15.550042;554140825;465856547;296799501;173112932;10.130223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1295189591;3245288297;7428512451;105965135;72080581;2100.049447;1295189591;469708338;710612053;262039584;17582344;11079793758;253918737
200000438;13667381725;11019646931;2647734794;7122874463;6817562931;305311532;6544507262;4202083999;2342423262;1197074769;93676021;26031456;698423699;612978128;85445571;49865107;323782082;174868989;10844740252;8936226781;1908513471;5653012044;5487231599;165780445;5191728208;3448995182;1742733026;157678177;1122201947;454579823;752172886;705838865;46334021;824608883;416363082;408245802;48784933;24.457993;2432694;19265833;11.514339;7.751494;295191;12943654;16.575446;15028399344;270955423;535396777;101601945;13.103459;1156160698;11590163424;767553509;572989715;20474395;7970420509;178717796;370784634;25746738;6.019425;326783108;6214822762;428124553;412394874;7.026619;7057978834;92237627;164.612143;75855206;7.084033;82937759;5375340662;339428956;160594842;13.447775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15028399344;3263189872;10742182857;36569419;971380212;15.076983;15028399344;710672675;314311097;9746268;142441157;13265573796;497937939
200000545;5305111469;4453435615;851675854;2805492006;2591297944;214194062;2499619464;1862137671;637481792;493710782;36895399;124756792;290521057;225361337;65159721;203189725;143592654;59597072;397368056;3401340934;572339626;2122655194;2025731311;96923883;1851025366;1375609623;475415743;804889836;668625907;136263929;369494826;331662585;3783224;435395011;336963322;98431689;32830291;14.514784;18315507;22820929;8.542711;14.278218;10009362;5972073;4.037289;5770959679;107732161;176510497;90241844;8.014597;54323702;4379375351;273568535;189404474;2875201;3108438415;65523381;126376683;23386793;4.939366;253477063;233178872;164433336;138513073;0;2662521264;4220878;50.133814;66855051;3.075231;289759957;2047586631;109135199;50891401;2.875201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5770959679;2277605794;2284755514;28503668;921543357;2.018334;5770959679;17705233;353102817;181240692;56731938;4420509482;582322419
200000628;7285828256;5922276239;1363552017;3922015793;364398861;278027183;3363812463;2278287629;1085524834;651809901;48208373;169726171;384279724;32382632;60453405;267530177;15825741;109272767;5445082557;4567612798;877469759;2954951833;2812347283;14260455;2490130724;1755265515;734865209;1105476661;827074095;278402566;53637987;474796439;61583431;569096792;352277656;216819136;83459136;45.505616;3795352;46404365;33.018568;13.385797;37054771;12487048;24.567723;8363329851;152421011;163374152;63396046;3.978254;92567543;5976983364;645628429;415236609;16636557;4581637306;111511829;127889933;21804093;0.999913;431021313;3228788711;353993206;301407395;4.220913;3781692545;40909182;35.484219;41591952;2.978341;494654117;2748194652;291635224;113829214;12.415644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8363329851;280734943;2342998806;132640517;3070618195;9.722902;8363329851;28847791;330995739;78517132;85169603;7371195159;208974309
200000800;3643838574;3087052755;556785819;1806650074;1653967659;152682416;18371885;1433085096;404103404;313235551;264731748;48503804;171673831;144008631;276652;141561721;120723117;20838604;2709052441;2360882816;348169625;1325406001;1257418842;67987159;138364644;1103463974;280182465;580463697;448335347;13212835;289513032;249498741;40014291;290950665;198836606;92114059;41086885;13.102844;27984041;2005721;3.041445;17.015765;21029675;10061399;10.968276;4139069473;81216257;127506413;33877795;2.015478;273665228;3125557403;262491582;22391011;8829206;2108447159;5126681;73684628;1787419;0.996378;119292199;1543535869;143767284;15315897;4.870831;2030622313;29949446;53.821785;16003605;1.0191;154373029;1582021534;118724298;7075114;3.958375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4139069473;1467420232;1052079271;1527774216;85841927;5.953827;4139069473;267267206;203060448;129176976;4183065;3311196286;186537907
200000925;934890046;8009219603;1339680857;4675336246;4446245921;229090325;4673564214;3562973683;1110590531;793691555;616760356;176931199;454306459;382193691;72112768;339385096;234566665;104818431;7251820655;6347688547;904132108;360390586;3501911209;101994651;3647914795;2845777337;802137457;1255822981;1023512614;232310367;5947298;550976528;43753272;661093182;472536086;188557096;47565269;21.258086;26307182;22394127;11.164492;11.229635;25171141;10093594;15.077547;10313763077;212799202;212150864;2624395;9.946743;588500205;8299259497;516914312;437541819;10406487;5302748296;139538803;153959972;11097185;3.971804;208010619;4158757863;31072269;312316926;4.372434;5011014781;73260399;58.190892;15146765;5.974939;380489586;4140501633;206191622;125224892;6.034053;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10313763077;1282833581;8524506583;288940849;206377831;11.104234;10313763077;371150571;228550369;100049623;71394201;9103441247;439177068
200000933;474879075;4012814798;735975952;2519852947;235876819;161084758;2228937803;1654046609;574891194;470093061;382339674;87753387;294093905;246260286;4783362;175999155;136079388;39919767;3454970194;2999930047;455040147;1829695859;1759619427;70076433;1625274334;124031062;384963714;785534991;61851048;167024511;377040645;345886384;31154261;408494346;272624096;13587025;38192504;12.034597;26157907;19022538;7.002093;12.020445;19169966;5032504;14.137462;5607240164;80597232;178931637;77915908;7.857635;323856685;4079631654;479527192;361925206;16997017;3057270895;5871127;103897573;34982361;6.855571;143023663;217238251;277351205;25503519;5.031552;2549969269;21885961;75.034064;42933547;1.002064;180833022;1907249143;202175987;106890016;11.965464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5607240164;2507728905;2080757308;863516966;146274501;8.962484;5607240164;384223217;389325094;168037969;54088132;4549615133;6195062
200004802;8327479139;6827525702;1499953438;4048816878;3739190934;309625944;4278662261;3088334768;1190327493;672468956;498000358;174468599;386047319;310197548;75849771;286421637;18780281;98618828;6186158023;5241907688;944250335;2960365507;2829483129;130882378;3225792516;2412424559;813367956;136676668;104655907;32020761;655344602;573491158;81853444;711422078;473067911;238354166;10208548;41.058586;61026894;47059449;26.019099;21.040351;55026031;15039488;39.986543;11164229465;167554951;6792884;55125491;9.982816;726662791;730022425;1846974239;951904724;37871364;5862444962;9476795;51956157;1704132;1.975101;285910773;3597165578;1113374911;690322409;9.930764;5301784504;72787001;15.972684;38084171;8.007716;440752018;3703058672;733599328;261582315;27.9406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11164229465;3362318491;3485367322;4072109468;160431273;84.002911;11164229465;597784107;332823699;46683994;208913471;9832342304;14568189
200005932;6003108129;5128900068;874208061;2932586317;2751164615;181421702;3070521812;2377735453;692786359;495443184;389816591;105626592;282155406;232695789;49459617;213287778;157120803;56166975;4496687319;3918014952;578672367;2165218472;2082730143;82488329;2331468848;183528481;496184038;963528558;798823867;164704692;463062021;4256723;37389721;500466537;373151567;12731497;47449068;22.244658;2520441;22150418;10.066384;12.084035;2529865;12178274;13.120376;6767237844;134270619;109222776;18045229;8.979213;434369729;5298220562;397380479;355679632;11069604;342751164;97206341;77602443;8020857;4.95341;181034455;256376881;23626946;25461789;4.037973;3339726204;37064278;31.620333;10024372;4.025803;253335274;2734451752;161111019;101061742;7.031631;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6767237844;14349811;4677411382;394970688;252901477;6.973197;6767237844;280238081;201692668;106571361;5220019;5854865673;271669872
200005957;4093684284;3267919333;825764952;2179664559;2024235755;155428804;1914019725;1243683577;670336148;432454551;332261579;100192971;278009047;223550948;54458099;154445504;108710631;45734873;3025488987;2487992567;53749642;1599438467;1546648752;52789715;1426050521;941343815;484706705;589330545;431407222;157923323;284171052;24700114;37169912;305159493;184406083;12075341;46410202;16.257964;30152238;18045994;7.034916;11.011078;28364208;9223048;19.14116;4788825323;195610855;123962742;58633288;7.932603;374473677;3333071119;385325498;301789644;8025897;2662107164;138738218;98187637;16028305;4.993502;12653296;1795183937;248292879;234149726;0;2126718159;56872638;25.775105;42604983;2.939101;247940718;1537887181;137032618;67639918;8.025897;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4788825323;1298108551;2782881013;63796264;58153551;11.719568;4788825323;248285329;254365998;73825841;46891359;4086483789;78973007
200006682;18881708288;15646767447;3234940841;9422774813;8713570493;709204319;9458933475;6933196954;2525736522;1869014399;149564683;373367569;1105411991;928277015;177134975;763602408;567369814;196232594;13798714379;1179285072;2005863658;683576612;65445507;29121542;6962948259;524830002;1714648238;297046318;229385692;67660626;134915076;120362031;14553045;162131242;109023661;53107581;243516331;64.412977;179103354;132445942;37.122468;95.323474;111070388;27290509;83.779879;22564433059;478520474;396912429;163343836;22.273645;1693852028;16126805876;1754397796;18816609;46666075;11779179195;324644223;280268809;48196409;11.42798;658619573;8099617818;998235453;134932005;8.848878;10785253864;15387625;116.64362;115147427;10.845665;1035232455;8027188058;756162342;53234085;37.817197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22564433059;8975838625;1023146597;2840990713;467436203;48.701548;22564433059;1295866449;1735458738;66522148;252057127;17790022756;825806509
200006716;5713350924;5013259638;700091286;3032488012;2898104583;134383428;2680862912;2115155055;565707858;498401894;401207371;97194523;315241811;26730158;47940231;183160083;133905791;49254291;4419217878;3944196848;475021029;2333637411;227723627;56401141;2085580466;1666960578;418619888;76451417;653763482;110750688;367552334;345574587;21977748;396961836;308188895;88772941;31216982;14.091937;17125045;16056455;7.992147;8.064308;15160527;609979;9.060737;6390408177;110117853;145097707;49192406;7.04644;445571539;4956324979;374527125;29341875;9111378;3458234532;7304264;96903463;16043129;2.010063;164471473;2680017243;213477034;210190638;2.078848;2932173645;37075213;48.194244;33149276;5.036377;281100066;2276307736;16105009;83228112;7.03253;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6390408177;2125268843;2002764311;172988162;2086425655;2.961207;6390408177;278093315;472793439;113373901;2897065;5111894733;385282139
200006930;1503752418;1185811778;31794064;714041952;638980041;75061911;789710465;546831737;242878728;148454942;126368718;22086224;86950363;73969615;12980748;61504579;52399102;9105476;1067495338;841930307;225565031;498705364;458737611;39967752;568789974;383192696;185597279;267644844;208403987;59240857;119304308;102233432;17070876;148340536;106170556;4216998;20157294;9.108766;11048528;9081917;4.039383;5.042535;11075376;5069383;6.005993;1914502364;41936474;11065753;2298918;1.018483;1469973;1279745227;232206368;174576891;3966687;1004244877;27814821;8044724;5029578;0;56079536;617073293;160536371;128702728;0.963825;910257487;14121653;3.021029;17959602;1.018483;90917764;662671934;71669996;45874164;3.002861;2232299981;112907895;110322103;74884581;49832422;25.052159;9.982932;9.982932;0;6.16701;0;6.16701;0;0;0;152500873;62878925;89621948;1584106773;752820008;831286765;22418833;149611492;74576838;17543465;103953171;71481479;5034832;0;5034832;1914502364;1120917151;603475141;13927155;173194395;2.988521;1914502364;152669755;340703716;9952919;10004674;1391135546;10035753
200006971;5768203208;4922403503;845799705;2915578807;2715586514;199992293;2852624401;2206816989;645807412;696497199;597812013;98685186;44942586;399696785;49729075;247071339;198115228;48956111;4080621046;3556635619;523985428;2029094044;1938814089;90279954;2051527003;1617821529;433705474;953058735;744519444;208539291;412270452;362648581;49621871;540788283;381870862;158917421;38026227;23.436427;145898;24788451;14.427058;10.361393;13237776;9009369;4.228407;6749760404;88862148;183963145;68751941;10.833552;712761569;4703030853;553280016;410041399;18235781;3556247406;56866292;89464235;29790523;5.56418;405235184;2328658394;353357271;280618841;6.692486;3193512998;31995856;94.498911;38961417;5.269372;307526385;2374372459;199922745;129422558;11.543295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6749760404;3056630413;2586068708;41909715;1061395184;3.756384;6749760404;558120248;649597353;123132587;110270458;4946662009;361977748
200007052;1358887697;1081865185;277022513;619198417;567797954;51400463;73968928;514067231;22562205;123213205;99157972;24055233;69100209;58036504;11063705;54112996;41121468;12991528;951598024;790521076;161076948;448499901;42334725;25152651;503098123;367173825;135924297;266950071;184130634;82819437;95600933;85431348;10169585;171349138;98699287;72649852;17126398;8.055503;9070895;5997374;0.982852;5.014522;11129024;7072651;4.056373;1894078798;2807634;30975927;16901765;0.982852;13660803;1145342783;354864797;17037691;9949395;981764146;20096416;14951751;9980355;0;51446328;522723566;242162843;117409408;2.993479;912314652;7979924;16.024176;692141;0.982852;85161702;622619217;112701954;52967502;6.955916;1465498047;799647283;665850764;28073612;2295967;5.113942;0;0;0;20.074553;15014312;5.060241;0;0;0;128106627;41316994;86789633;868981847;423514549;445467299;267117781;186875932;80241849;147940987;109965827;3797516;5202641;0;5202641;1894078798;783035611;892461786;30103502;185457173;3.020727;1894078798;208947982;123783803;12115876;6944895;1523269715;19016528
200007177;1460698995;1172130057;288568939;728589705;678340555;5024915;732109291;493789501;238319789;129581769;9751128;32070489;71448577;60455826;10992752;58133191;37055454;21077737;1064823123;882946978;181876145;533312852;510145914;23166938;531510271;372801064;158709207;247188541;185635568;61552973;114778986;104717244;10061742;132409555;80918324;51491231;19105563;6.03623;13069332;9049289;3.021571;6.027718;10056273;301466;7.041614;1766482859;36113313;22061132;1699547;1.005556;162495514;1222028011;184315336;119447164;2021363;937893114;25962081;15126569;8983439;1.005556;59309451;618202609;11707983;91225074;0.998506;828589745;10151232;6.934563;801203;0;103186063;603825402;67235506;28222091;1.022857;977230733;429516164;547714569;14838138;14838138;0;5.099231;0;5099231;30.164043;9974067;20.189976;0;0;0;80278265;10080438;70197828;587307606;223938116;363369491;171823489;100635062;71188427;8771996;70050343;17669617;0;0;0;1766482859;47710498;1101045323;10346825;176965885;1.019846;1766482859;133768085;82779779;22028705;2706795;1455644;4519434
200010650;19069099052;15540991799;3528107253;9587964312;8885870971;702093341;9481134741;6655120828;2826013913;1928919374;1462906095;466013279;1059422198;904366563;155055635;869497176;558539532;310957644;13920126172;11615543309;2304582862;6986337629;6634679968;351657661;6933788543;4980863341;1952925201;3037446913;2381142647;656304266;1426986917;1299500038;127486879;1610459996;1081642608;528817387;182606594;81.399748;101206846;115217568;47.324402;67.893166;67389026;34075346;33.31368;21365986855;532242668;611294044;229792328;32.288871;1641988424;16021492718;1294417734;966813796;35656273;10955230803;327335949;395218869;121577633;19.489126;604465185;8119877549;721295245;634318393;11.652853;10410756052;204906718;216.075174;108214695;12.799745;1037523239;7901615169;573122489;332495403;24.00342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21365986855;741530911;1021845487;3314013691;34499929;73.209894;21365986855;789505031;1240612902;533335401;264236583;17513625485;1024671453
200010700;28761901745;23684949843;5076951902;15342893281;14555530636;787362645;13419008464;9129419207;4289589257;2822049386;2088134307;73391508;1669001001;1360048158;308952843;1153048385;728086148;424962237;22039699919;18660147325;3379552593;11758245;11413460138;344784862;10281454919;7246687188;3034767731;3713283468;2862373761;850909706;1846968211;1753089757;93878455;1866315256;1109284005;757031252;186868973;74.29445;112574523;68679069;28.932583;39.746486;118189904;45361867;72.828037;31410080597;792418288;1054612317;386806166;56.884571;2550987922;23920192481;1357966644;1231694932;58517276;16919430553;508850832;785244641;130811425;23.576928;877365578;13017043878;710016544;847085332;19.435396;14490650044;283567456;269.367676;255994741;33.307643;1673622345;10903148603;6479501;384609599;39.081881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31410080597;6746092483;23438773389;675050118;513653103;36.511504;31410080597;1267849252;1235826573;154219765;405675876;27368279033;978230097
200011773;36276094551;27696827257;8579267294;18945783736;16662477635;2283306102;17330310814;11034349623;6295961192;334249941;2392524415;949974995;1749634322;132360593;426028392;1592865088;1068918485;523946603;28238501613;22068429249;6170072364;1488413336;13404682509;1479450851;13354368253;866374674;4690621514;4464338904;3155813154;130852575;2191940239;1884319527;307620712;2272398665;1271493627;1000905039;230754623;80.060439;150694184;120075815;49.869668;70.206148;110678808;30190771;80.488037;40059193893;578769822;1239812871;145740786;118.492294;2914115565;31279163213;2262201731;1452053485;68844126;21350243939;346615972;819147547;59423906;61.827283;1239619134;16419149895;1302254052;1074527975;27.678176;18708949954;23215385;420.665324;86316879;56.665011;1674496431;14860013319;959947679;37752551;41.165951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40059193893;7864008599;1159949165;3802382;2237438;19991.711644;40059193893;921949062;2986684732;1825155323;2353039228;2531282398;6659541569
200011781;3225602076;2693945927;531656149;1621226507;1542589603;78636904;1604375568;1151356324;453019245;285090918;225032059;60058859;15575727;138334222;17423049;129333648;86697838;4263581;2447778878;2077795335;369983544;1253779573;1207978485;45801088;1193999305;869816849;324182456;462221305;377979892;84241414;194413773;18618034;8233433;267807532;191799552;76007981;30510974;13.138641;17372332;17275891;10.096557;7.179334;13235083;3042085;10.192998;3779849476;77284456;66350989;18173543;5.211666;283325142;2775256281;329476421;210526431;14244548;1953860716;57148429;3886985;2019296;3.206794;92091814;1427890325;17999995;149571102;3.063156;1825988761;20136027;27.481138;16154247;2.004872;191233328;1347365956;149476471;60955329;11.181392;1599582799;752350148;847232651;44449388;33485173;10.964215;5.076845;5.076845;0;5.190985;0;5.190985;1.093735;1.093735;0;100053351;8968939;91084412;1056922101;486627944;570294158;260594041;146531058;114062983;126202354;70566456;55635898;0;0;0;3779849476;797842944;778221032;32679494;216909615;2.009856;3779849476;183771253;96297918;28399059;60754585;3374099766;36526895
200013050;7100911639;58908675;1210044139;3749082472;3573505218;175577255;3351829167;2317362283;1034466884;61207578;492598982;119476798;356036403;308017282;48019121;256039378;1845817;71457677;5247654449;4482671954;764982495;2738801393;2676613974;62187419;2508853056;180605798;702795076;1187905176;902554758;285350417;629105553;581839338;47266215;558799623;32071542;238084203;53276234;13.041806;40234428;25139123;7.034624;18.1045;28137111;6007182;22.129928;7839759228;211619876;201069621;36180872;8.109026;399783003;6244149241;379916502;349821018;9110069;4225325525;129113679;152095567;9948196;1.011331;154849793;3302063905;213079979;262066865;1.096209;3614433703;82506197;48.974054;26232676;7.097694;244933209;2942085336;166836523;87754153;8.01386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7839759228;1108084071;5885953939;73436231;36875554;735.409432;7839759228;334733781;23321896;107383454;66330347;6833535155;26455753
200015162;1576658059;1338968412;237689646;934807569;868428957;66378613;64185049;470539456;171311034;119168569;102224976;16943593;81472837;7255328;8919558;37695732;29671696;8024035;1153840242;996474588;157365654;681549836;644345589;37204247;472290407;352128999;120161407;257361878;204073902;53287976;136401616;125350342;11051274;120960261;78723559;42236702;4628737;36.194947;10092423;3538328;26.179745;9.203534;1090409;10015201;0.888889;2186242719;29221903;4168952;14021581;2.98367;238368335;1287893618;37155183;222051102;15981728;1333879347;25224716;314875;5005794;2.009051;164395307;735023951;244258367;147838258;6.975153;852363372;3997186;1.020202;9015787;0.974619;73973028;552869667;127293463;74212844;9.006575;1998965711;1267309887;731655824;35849128;2883584;7.013288;4.059275;2.037174;2022101;11.022136;702234;3.999796;0.996555;0;0.996555;177407354;108982401;68424953;1196184674;726867029;469317644;380661339;262498478;118162861;179680994;124976957;54704037;13104256;6.089668;7014587;2186242719;112889682;97947745;51399091;23527137;2.942222;2186242719;126751876;147318984;8089318;22131598;1873201781;8749161
200016905;1861537644;1344188083;517349562;907754627;786920248;120834378;953783018;557267835;396515183;207033618;162240531;44793086;123330277;10135737;21972906;83703341;60883161;2282018;1309419187;94947583;359943357;60842692;545370613;63056307;700992267;404105217;29688705;328103691;225491151;10261254;164066193;134226564;29839629;164037498;91264587;72772911;16981149;6.98057;10000578;11931236;5.965701;5.965535;5049913;101487;4.035043;253140211;42791581;31722873;19137905;2.018367;220557204;1545309715;439016016;210890265;19958184;1349275477;2885694;24761184;6059563;0;81702313;766374627;282213912;156286767;3.020172;1182126633;13934641;6.961689;13078342;2.018367;138854891;778935087;156802104;54603499;16.938012;1883966369;951078318;932888052;47969294;3977875;8.190544;12.977216;7.977216;5;5.109682;0;5.109682;0;0;0;180239558;79789017;100450541;105817644;43378897;624387471;396479728;276306345;120173382;158019002;11343802;44580982;2499545;0;2499545;253140211;1072086213;1186624097;23063883;32991903;9.061067;253140211;262861797;187024423;13845345;16923163;1979078938;71668445
