codgeo;CS1_6_NBEMP_ENS;CS1_6_NBEMP_1;CS1_6_NBEMP_2;CS1_6_NBEMP_3;CS1_6_NBEMP_4;CS1_6_NBEMP_5;CS1_6_NBEMP_6;STATR-SEXE_POP_ENS_ENS;STATR-SEXE_POP_1_ENS;STATR-SEXE_POP_2_ENS;STATR-SEXE_POP_ENS_1;STATR-SEXE_POP_1_1;STATR-SEXE_POP_2_1;STATR-SEXE_POP_ENS_2;STATR-SEXE_POP_1_2;STATR-SEXE_POP_2_2;STATR-SEXE_NBEMP_ENS_ENS;STATR-SEXE_NBEMP_1_ENS;STATR-SEXE_NBEMP_2_ENS;STATR-SEXE_NBEMP_ENS_1;STATR-SEXE_NBEMP_1_1;STATR-SEXE_NBEMP_2_1;STATR-SEXE_NBEMP_ENS_2;STATR-SEXE_NBEMP_1_2;STATR-SEXE_NBEMP_2_2;STATR-TP_POP_ENS_ENS;STATR-TP_POP_1_ENS;STATR-TP_POP_2_ENS;STATR-TP_POP_ENS_1;STATR-TP_POP_1_1;STATR-TP_POP_2_1;STATR-TP_POP_ENS_2;STATR-TP_POP_1_2;STATR-TP_POP_2_2;STATR-TP_NBEMP_ENS_ENS;STATR-TP_NBEMP_1_ENS;STATR-TP_NBEMP_2_ENS;STATR-TP_NBEMP_ENS_1;STATR-TP_NBEMP_1_1;STATR-TP_NBEMP_2_1;STATR-TP_NBEMP_ENS_2;STATR-TP_NBEMP_1_2;STATR-TP_NBEMP_2_2;CS1_6-TACTR_2_POP_ENS_ENS;CS1_6-TACTR_2_POP_1_ENS;CS1_6-TACTR_2_POP_2_ENS;CS1_6-TACTR_2_POP_3_ENS;CS1_6-TACTR_2_POP_4_ENS;CS1_6-TACTR_2_POP_5_ENS;CS1_6-TACTR_2_POP_6_ENS;CS1_6-TACTR_2_POP_ENS_11;CS1_6-TACTR_2_POP_1_11;CS1_6-TACTR_2_POP_2_11;CS1_6-TACTR_2_POP_3_11;CS1_6-TACTR_2_POP_4_11;CS1_6-TACTR_2_POP_5_11;CS1_6-TACTR_2_POP_6_11;CS1_6-TACTR_2_POP_ENS_12;CS1_6-TACTR_2_POP_1_12;CS1_6-TACTR_2_POP_2_12;CS1_6-TACTR_2_POP_3_12;CS1_6-TACTR_2_POP_4_12;CS1_6-TACTR_2_POP_5_12;CS1_6-TACTR_2_POP_6_12;SEXE-AGE3_POP_ENS_ENS;SEXE-AGE3_POP_1_ENS;SEXE-AGE3_POP_2_ENS;SEXE-AGE3_POP_ENS_15;SEXE-AGE3_POP_1_15;SEXE-AGE3_POP_2_15;SEXE-AGE3_POP_ENS_25;SEXE-AGE3_POP_1_25;SEXE-AGE3_POP_2_25;SEXE-AGE3_POP_ENS_55;SEXE-AGE3_POP_1_55;SEXE-AGE3_POP_2_55;TACTR_POP_ENS;TACTR_POP_11;TACTR_POP_12;TACTR_POP_21;TACTR_POP_22;TACTR_POP_24;TACTR_POP_26;TACTR_2-SEXE-AGE3_POP_ENS_ENS_ENS;TACTR_2-SEXE-AGE3_POP_11_ENS_ENS;TACTR_2-SEXE-AGE3_POP_12_ENS_ENS;TACTR_2-SEXE-AGE3_POP_ENS_1_ENS;TACTR_2-SEXE-AGE3_POP_11_1_ENS;TACTR_2-SEXE-AGE3_POP_12_1_ENS;TACTR_2-SEXE-AGE3_POP_ENS_2_ENS;TACTR_2-SEXE-AGE3_POP_11_2_ENS;TACTR_2-SEXE-AGE3_POP_12_2_ENS;TACTR_2-SEXE-AGE3_POP_ENS_ENS_15;TACTR_2-SEXE-AGE3_POP_11_ENS_15;TACTR_2-SEXE-AGE3_POP_12_ENS_15;TACTR_2-SEXE-AGE3_POP_ENS_1_15;TACTR_2-SEXE-AGE3_POP_11_1_15;TACTR_2-SEXE-AGE3_POP_12_1_15;TACTR_2-SEXE-AGE3_POP_ENS_2_15;TACTR_2-SEXE-AGE3_POP_11_2_15;TACTR_2-SEXE-AGE3_POP_12_2_15;TACTR_2-SEXE-AGE3_POP_ENS_ENS_25;TACTR_2-SEXE-AGE3_POP_11_ENS_25;TACTR_2-SEXE-AGE3_POP_12_ENS_25;TACTR_2-SEXE-AGE3_POP_ENS_1_25;TACTR_2-SEXE-AGE3_POP_11_1_25;TACTR_2-SEXE-AGE3_POP_12_1_25;TACTR_2-SEXE-AGE3_POP_ENS_2_25;TACTR_2-SEXE-AGE3_POP_11_2_25;TACTR_2-SEXE-AGE3_POP_12_2_25;TACTR_2-SEXE-AGE3_POP_ENS_ENS_55;TACTR_2-SEXE-AGE3_POP_11_ENS_55;TACTR_2-SEXE-AGE3_POP_12_ENS_55;TACTR_2-SEXE-AGE3_POP_ENS_1_55;TACTR_2-SEXE-AGE3_POP_11_1_55;TACTR_2-SEXE-AGE3_POP_12_1_55;TACTR_2-SEXE-AGE3_POP_ENS_2_55;TACTR_2-SEXE-AGE3_POP_11_2_55;TACTR_2-SEXE-AGE3_POP_12_2_55
200000172;13378092732;65905849;815269518;1801926783;3590318212;2882331715;4222340655;1295189591;11608137172;1343758738;6921812229;6058096147;863716082;6030083681;5550041025;480042657;13317730784;12019338069;1298392715;6848586372;6019674062;82891231;6469144412;5999664007;469480404;1295189591;11608137172;1343758738;10843217192;9679476804;1163740388;2108678718;1928660368;18001835;13317730784;12019338069;1298392715;11215317937;10105136358;1110181578;2102412847;1914201711;188211136;13995288953;5330815;808524982;1646866952;3629292788;3427667227;4327793085;12646260788;5330815;775596169;1603399711;3364372063;3071608612;3777976084;1349028164;0;32928814;43467241;264920726;356058615;549817001;17796965101;9141846436;8655118665;2984524313;1600954489;1383569823;11743648657;6041020043;5702628614;3068792131;1499871904;1568920227;17796965101;12809116413;1422589891;844002145;1302713759;478239008;940303884;14231706305;12809116413;1422589891;7561516158;6850501924;711014235;6670190147;595861449;711575657;1475596522;1184770105;290826417;873094018;703708899;169385119;602502504;481061206;121441298;10826513004;9873563685;952949319;5699624;525589983;44372417;5126889004;4617663855;509225149;1929596779;1750782624;178814155;98879814;890893194;97904946;940798639;859889429;80909209
200000438;8703759562;1911409;645342035;796119324;1848205582;2895183285;2327768435;15028399344;13667381725;1361017619;7970420509;7122874463;847546046;7057978834;6544507262;513471573;8702284683;7464414053;123787063;3960388979;3182814644;777574335;4741895704;4281599409;460296296;15028399344;13667381725;1361017619;12228156026;11019646931;1208509096;2800243317;2647734794;152508523;8702284683;7464414053;123787063;6544055199;5431993964;1112061235;2158229484;2032420089;125809395;1660588412;215887735;755727909;1211662695;4165386743;47100427;5413831952;15005270493;210887698;71910914;1158581547;3901414069;4230607861;4784670178;1600613627;5.000037;36618768;53081148;263972674;479434839;629161774;2116494041;10733903441;10431036968;3253988718;1686966319;1567022399;1366444454;6960435867;6704008673;4246507152;2086501255;2160005897;2116494041;1495847544;1599562156;1714974075;1554735346;513702904;823490488;16558037596;1495847544;1599562156;8627875991;7937071375;690804616;7930161605;7021404065;90875754;1604959242;1226316706;378642536;895473405;713173919;182299486;709485837;513142787;19634305;12936813807;11898632677;103818113;674870192;6308156378;440545542;6188111887;55904763;597635587;2016264547;1833526057;18273849;983700666;915741078;67959587;1032563881;917784979;114778903
200000545;6269258828;56764447;344268914;653080676;1566951369;2081116934;1567076488;5770959679;5305111469;46584821;3108438415;2805492006;302946409;2662521264;2499619464;1629018;6449224767;5845879088;603345679;3040124237;2675962196;364162041;3409100531;3169916893;239183638;5770959679;5305111469;46584821;4855397825;4453435615;40196221;915561854;851675854;63886;6449224767;5845879088;603345679;5392855833;4867016196;525839637;1056368934;978862892;77506042;7441732262;39592506;292939733;414724095;1455721952;2490087486;2556337524;5695287026;39592506;250078903;409309909;120250901;1903862488;188993421;1746445236;0;4286083;5414186;253212942;586224998;666403314;10433700629;5058761726;5374938903;1794644647;902360063;892284584;6250789569;3004029239;324676033;2388266412;1152372424;1235893989;10433700629;5718262398;1765323841;844682111;859063556;485911312;760457411;7483586239;5718262398;1765323841;3860039814;3070830533;789209282;3623546424;2647431866;976114559;79680279;50419348;292609311;453140977;293250046;159890931;343661813;210943433;13271838;549854441;42828263;1215718109;2816428092;2318279992;4981481;2682116317;1964546309;717570009;1188239039;931242618;256996421;590470745;459300494;131170251;597768294;471942124;12582617
200000628;7598708642;156755557;712114698;729744317;1973399225;2083103452;1943591392;8363329851;7285828256;1077501595;4581637306;3922015793;659621514;3781692545;3363812463;417880081;7619523139;6451546129;116797701;4038437974;3318900981;719536993;3581085165;3132645148;448440017;8363329851;7285828256;1077501595;6786784647;5922276239;864508408;1576545204;1363552017;212993187;7619523139;6451546129;116797701;6074330001;5125250802;949079199;1545193137;1326295326;218897811;9971098409;124039808;730282723;659810773;2285642411;2796738825;3204325094;8170573149;120980379;662360919;627418162;2098877884;2166708692;2494227113;1800525259;3.059429;67921804;32392611;186764527;630030132;710097981;13945815042;6887066451;7058748592;2263826379;1162415301;1101411078;8491585688;4192574633;4299011055;3190402975;1532076516;1658326459;13945815042;8207959105;1750813929;1103869653;1083319895;897426594;902425867;9958773034;8207959105;1750813929;5268958167;4490788161;778170007;4689814866;3717170944;972643922;1057422764;674891063;382531701;605336997;396360403;208976594;452085767;27853066;173555108;7313839324;6205200249;1108639074;3894006254;3424106374;46989988;341983307;2781093875;638739194;1587510946;1327867792;259643153;769614917;670321383;99293533;817896029;657546409;16034962
200000800;3820673933;34813295;345465332;303526193;838229826;125617369;1042465598;4139069473;3643838574;495230899;2108447159;1806650074;301797085;2030622313;18371885;193433814;3953741603;3479815658;473925945;1808876605;1512609487;296267118;2144864999;1967206171;177658828;4139069473;3643838574;495230899;3527218435;3087052755;44016568;611851038;556785819;55065218;3953741603;3479815658;473925945;3247817769;2830964026;416853744;705923834;648851632;57072202;4649649786;30052651;383800365;35279029;1021940471;1526499776;1310276836;4044496099;30052651;36887943;347788925;971874509;1268023283;10578773;605153687;0;14920935;5001364;50065962;258476493;252399535;612631253;3041779113;3084533418;937309171;476881291;46042788;3721816944;1821124389;1900692556;1467186415;743773433;723412982;612631253;4064912386;599564068;537172883;441909792;106151861;37660154;4664476455;4064912386;599564068;2367579664;206736838;300211284;2296896791;1997544007;299352784;467008982;325259775;141749207;260792078;179672002;81120076;206216904;145587774;6062913;3416491371;3039914446;376576924;1690061458;1515003775;175057684;1726429912;1524910672;201519241;780976102;699738165;81237938;416726127;372692603;44033524;364249975;327045562;37204414
200000925;424282197;82021759;396904403;37512169;997564555;1086016087;1305193475;10313763077;934890046;964862617;5302748296;4675336246;62741205;5011014781;4673564214;337450567;4197075923;355324728;643828642;2272433184;1860445937;411987247;1924642738;1692801343;231841395;10313763077;934890046;964862617;8882148476;8009219603;872928872;1431614601;1339680857;91933745;4197075923;355324728;643828642;3554317668;2981857635;572460033;642758255;571389645;7136861;108796396;60373517;612802767;1183806622;3113873897;3024132571;2809130723;10093050751;60373517;577520747;1153739928;30081065;2812694837;2480615222;786588849;0;3528202;30066694;105767397;211437734;328515501;14168346514;7067376078;7100970436;241815696;1228276403;1189880557;8812092665;4391024754;4421067912;2938096889;1448074921;1490021968;14168346514;10242914632;816271111;1166577542;1352338079;231979273;358265877;11059185744;10242914632;816271111;5658967166;5261154106;39781306;5400218578;4981760526;418458052;1000817607;823154199;177663408;574874909;469573948;105300962;425942698;353580251;72362446;847237555;7979725051;492650498;4302194262;4068495703;233698559;4170181287;3911229348;258951939;1585992587;1440035382;145957205;781897994;723084455;58813539;804094593;716950927;87143666
200000933;5467917052;204768855;424879654;459438046;1132353269;1240624198;2005853031;5607240164;474879075;858449414;3057270895;2519852947;537417947;2549969269;2228937803;321031467;5504354946;4633504765;870850181;3078016341;2537234271;54078207;2426338605;2096270494;330068111;5607240164;474879075;858449414;4779115043;4012814798;766300245;828125121;735975952;92149169;5504354946;4633504765;870850181;4733129327;3954185524;778943803;771225619;679319241;91906378;6325386238;189474124;426157588;393574035;13423768;1652979276;2281216248;5469814556;184474124;395884152;373393298;1212535324;1382974973;1920552685;855571682;5;30273435;20180737;129841476;270004303;360663563;8275729067;4239499963;4036229104;1250186821;687811685;562375136;4811933053;2464477559;2347455494;2213609193;1087210719;1126398474;8275729067;5506535799;710513941;852963914;538684722;229190514;437840179;6217049739;5506535799;710513941;3334327142;2996937422;337389721;2882722597;2509598377;37312422;655654145;489056702;166597443;400903087;305068401;95834687;254751058;183988301;70762756;4431899615;3989462466;442437149;2350149588;2151887745;198261843;2081750027;183757472;244175306;112949598;1028016631;101479348;583274467;539981276;43293191;546221513;488035355;58186157
200004802;6683913413;180104276;1400930471;702432759;1261172015;2129488477;1009785415;11164229465;8327479139;2836750326;5862444962;4048816878;1813628084;5301784504;4278662261;1023122242;6551892686;4437042623;2114850063;3289836746;1994109373;1295727374;326205594;2442933251;819122689;11164229465;8327479139;2836750326;921785409;6827525702;2390328388;1946375376;1499953438;446421938;6551892686;4437042623;2114850063;5165373187;3401437528;1763935659;1386519499;1035605095;350914404;12588309823;200398385;1737884726;1785444628;2919225033;3649029617;2176173402;10943542831;195190043;1656709089;17054936;2620268074;3084315249;1681566777;1644766992;5.208342;81175637;79951028;29895696;564714369;494606626;16369937949;8121100664;8248837285;2433027788;1290715203;1142312585;10092978213;4966212043;5126766169;3843931948;1864173417;1979758531;16369937949;10900887879;1544727911;1088599232;1246757415;624589902;96437561;12445615791;10900887879;1544727911;6443157949;5707338904;735819045;6002457841;5193548975;808908866;1047891982;739192354;308699629;606732588;422841478;183891109;441159395;316350875;124808519;9160721267;8186752283;973968983;4663102992;4227255342;43584765;4497618275;3959496941;538121334;2237002541;1974943242;262059299;1173322369;1057242083;116080286;1063680172;917701159;145979013
200005932;4246294008;45217409;399681804;672369419;1087310305;1195639729;846075342;6767237844;6003108129;764129715;342751164;2932586317;494925323;3339726204;3070521812;269204392;4224516118;364236115;582154968;2191012754;1813251357;377761397;2033503364;1829109794;20439357;6767237844;6003108129;764129715;5818819182;5128900068;689919114;948418662;874208061;74210601;4224516118;364236115;582154968;3674298127;3146883509;527414618;550217991;495477641;5474035;73675577;3013619;585400527;1188853052;2114944058;2003675683;1400395411;6742300467;3013619;570711915;1148379049;2049948126;1779053033;1164072153;625257233;0;14688611;40474003;64995931;224622651;236323258;9286895959;457152684;4715369119;1469390898;79327505;676115848;5656289642;2729529639;2926760003;2161215418;1048722151;1112493267;9286895959;6691724881;5896476;780431874;78876008;179172054;25715947;7281372481;6691724881;5896476;3670632691;3380296594;290336097;361073979;3311428287;299311502;638952531;509328264;129624267;382818247;293022324;89795923;256134285;21630594;39828344;5391612906;5019133544;372479362;2660080934;2495865287;164215647;2731531971;2523268257;208263715;1250807044;1163263073;8754397;62773351;591408983;36324527;623073534;57185409;51219444
200005957;3596476667;166567629;391562812;269456;728221462;911220994;1129447771;4788825323;4093684284;695141039;2662107164;2179664559;482442605;2126718159;1914019725;212698434;3758452467;3122998815;635453652;2197014486;1753635318;443379168;1561437981;1369363497;192074484;4788825323;4093684284;695141039;3888975634;3267919333;621056301;899849689;825764952;74084737;3758452467;3122998815;635453652;3070790086;2502172101;568617984;687662381;620826714;66835667;5379740006;158555535;417409987;307977922;1091998463;1549358519;1735793478;4475815961;158555535;402445289;298152067;967108893;1282251398;1367302779;903924045;0;14964698;9825855;124889569;267107121;368490699;7840680154;3977942305;3862737848;148411375;787274681;696839069;4629944198;2324897649;2305046548;1726622206;865769975;860852231;7840680154;471918106;936775326;617103626;714626767;41435359;438639785;5655956386;471918106;936775326;3066406592;2625807814;440598778;2589549794;2093373246;496176548;677844343;44839063;229453713;408447435;288931357;119516078;269396908;159459273;109937635;4090102254;3519203383;570898871;2194903396;1944924119;249979277;1895198858;1574279264;320919594;888009789;751587047;136422742;463055762;391952338;71103424;424954028;359634709;65319318
