codgeo;CS1_8_CS1_8_POP_ENS;CS1_8_CS1_8_POP_1;CS1_8_CS1_8_POP_2;CS1_8_CS1_8_POP_3;CS1_8_CS1_8_POP_4;CS1_8_CS1_8_POP_5;CS1_8_CS1_8_POP_6;CS1_8_CS1_8_POP_7;CS1_8_CS1_8_POP_8;CS1_8_CS1_8_NBLOG_ENS;CS1_8_CS1_8_NBLOG_1;CS1_8_CS1_8_NBLOG_2;CS1_8_CS1_8_NBLOG_3;CS1_8_CS1_8_NBLOG_4;CS1_8_CS1_8_NBLOG_5;CS1_8_CS1_8_NBLOG_6;CS1_8_CS1_8_NBLOG_7;CS1_8_CS1_8_NBLOG_8;TF4_TF4_NBLOG_ENS;TF4_TF4_NBLOG_1;TF4_TF4_NBLOG_2;TF4_TF4_NBLOG_3;TF4_TF4_NBLOG_4;TF4_TF4_POP_ENS;TF4_TF4_POP_1;TF4_TF4_POP_2;TF4_TF4_POP_3;TF4_TF4_POP_4;TYPMR_TYPMR_NBLOG_ENS;TYPMR_TYPMR_NBLOG_11;TYPMR_TYPMR_NBLOG_12;TYPMR_TYPMR_NBLOG_20;TYPMR_TYPMR_NBLOG_31;TYPMR_TYPMR_NBLOG_32;TYPMR_TYPMR_NBLOG_41;TYPMR_TYPMR_NBLOG_42;TYPMR_TYPMR_NBLOG_43;TYPMR_TYPMR_NBLOG_44;TYPMR_TYPMR_POP_ENS;TYPMR_TYPMR_POP_11;TYPMR_TYPMR_POP_12;TYPMR_TYPMR_POP_20;TYPMR_TYPMR_POP_31;TYPMR_TYPMR_POP_32;TYPMR_TYPMR_POP_41;TYPMR_TYPMR_POP_42;TYPMR_TYPMR_POP_43;TYPMR_TYPMR_POP_44;AGEMEN8_A_AGEMEN8_A_NPERSEULES_ENS;AGEMEN8_A_AGEMEN8_A_NPERSEULES_15;AGEMEN8_A_AGEMEN8_A_NPERSEULES_20;AGEMEN8_A_AGEMEN8_A_NPERSEULES_25;AGEMEN8_A_AGEMEN8_A_NPERSEULES_40;AGEMEN8_A_AGEMEN8_A_NPERSEULES_55;AGEMEN8_A_AGEMEN8_A_NPERSEULES_65;AGEMEN8_A_AGEMEN8_A_NPERSEULES_80;AGEMEN8_A_AGEMEN8_A_POPMEN_ENS;AGEMEN8_A_AGEMEN8_A_POPMEN_15;AGEMEN8_A_AGEMEN8_A_POPMEN_20;AGEMEN8_A_AGEMEN8_A_POPMEN_25;AGEMEN8_A_AGEMEN8_A_POPMEN_40;AGEMEN8_A_AGEMEN8_A_POPMEN_55;AGEMEN8_A_AGEMEN8_A_POPMEN_65;AGEMEN8_A_AGEMEN8_A_POPMEN_80;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_ENS_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_15_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_20_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_25_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_40_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_55_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_65_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_80_ENS;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_ENS_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_15_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_20_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_25_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_40_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_55_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_65_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_80_1;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_ENS_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_15_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_20_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_25_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_40_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_55_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_65_2;AGEMEN8_A-COUPLE_AGEMEN8_A-COUPLE_POP_80_2;STAT_CONJ_19_STAT_CONJ_19_POP_ENS;STAT_CONJ_19_STAT_CONJ_19_POP_1;STAT_CONJ_19_STAT_CONJ_19_POP_2;STAT_CONJ_19_STAT_CONJ_19_POP_3;STAT_CONJ_19_STAT_CONJ_19_POP_4;STAT_CONJ_19_STAT_CONJ_19_POP_5;STAT_CONJ_19_STAT_CONJ_19_POP_6
200000172;26435685108;120452769;1518311978;2949492456;5572157768;4144611344;7370377406;4178606696;581674691;1139031905;47522534;564262319;1091204243;2189155707;1737689123;2807005617;2606052714;347426793;7563141819;2888953157;3601609497;272433691;800145474;22387901989;5912660415;13760987791;655021377;2059232406;1139031905;1869257445;1754728657;203191129;272433691;800145474;3528299488;912238283;555418877;1494606006;26435685108;1869257445;1754728657;423797017;655021377;2059232406;11565019697;3186887234;1536072571;3385668704;3629333506;16.830511;180982999;833589305;801012962;59047003;798204703;408242995;21222156179;1461488393;1345149739;5671772773;5877124396;3040939961;2957553976;868126941;21829613695;1549814834;1434709479;5798934492;5944714165;3068792131;2995475581;1037173013;13528958236;25.085777;380738221;4017821659;4485527857;2216098748;2024342165;379343809;8300655459;1524729057;1053971258;1781112833;1459186308;852693383;971133416;657829204;21829613695;9816329141;1073615708;2845902881;1211235212;1403986979;5478543773
200000438;34499573017;400131082;1466405087;2382076709;7341157667;5913391107;9693111736;6611850522;691449106;14330290904;140311366;498184204;778713243;2488706283;2221021204;3556522944;425062872;39620294;10006121954;4274520697;4784755294;209439725;737406239;29977850716;8612419561;18833801357;56144073;1970189068;14330290904;1849447535;2307337977;167383438;209439725;737406239;4950288996;956860983;763036955;2389089056;34499573017;1849447535;2307337977;364936789;56144073;1970189068;16965689461;3298151275;1999107893;5183272289;4130409169;15.007614;150874569;682386747;806743218;748117333;1018392008;708887679;26573429217;1951393641;1288257371;6662312805;6887524662;4161619196;4361712527;1260609015;27610359109;1956305129;1297683589;6707066075;6957378465;4246507152;4538883309;1906535391;18541818778;25.743596;480712613;5443026005;5523669085;3285742458;3247773273;535151749;9068540331;1930561534;816970976;126404007;143370938;960764694;1291110036;1371383642;27610359109;13405792765;1525006518;3793699524;2072288445;1185111019;5628460837
200000545;18046034953;7776224;520189826;789201092;2415309568;3859099651;4747901881;4739564867;897005829;8466647729;31717624;220343172;286042132;925387293;1522792118;1811672138;3163230936;505462317;5003943583;2219765607;1895215513;125636432;763326031;14516780389;4512010367;7623895587;349380082;2031494353;8466647729;1519850888;1888652135;54201123;125636432;763326031;1264719729;779478365;393757525;1677025501;18046034953;1519850888;1888652135;120751542;349380082;2031494353;4185892176;2922214833;1149866433;3877932512;3386277695;10.283218;100419984;410190223;656435191;636260057;947874919;624814104;14438094757;948266114;800378214;2738136593;3446652495;237326629;3002815922;1128579127;1482409779;973266278;821378369;2787136952;3463652618;2388266412;3062816412;132758075;8455348767;39.521013;259995898;1764739549;2306518505;1633374933;1991328768;459870102;6368749023;933745264;561382471;1022397403;1157134113;75489148;1071487644;867710648;1482409779;6464205138;514383593;1611991503;1443338926;1181576295;3608602335
200000628;23698837201;196916337;1646364241;119949176;3678488557;3888559971;6057112614;5814129946;1217773775;10212470078;76590286;531491741;438950016;1434529246;1492943876;2086106193;3529554815;622303904;6897061202;3098413239;2895628973;202945121;70007387;20165673888;6312022269;11500448598;503904511;184929851;10212470078;1427769063;1722655354;164984458;202945121;70007387;2127448383;994703574;492025889;2379864366;23698837201;1427769063;1722655354;382738896;503904511;184929851;6947766515;379194583;1317730025;5755028497;3145245776;10.314899;69402728;406054181;563314124;625955344;885610488;584594012;1911259494;1315064618;938095942;3799236154;4645321557;3176388951;3888455151;1350032568;19261922328;1315731226;948095153;3821234316;4670351372;3190402975;3899417017;1416690269;1233960241;12.964859;249700904;2739175092;3511454837;2353001007;2813499195;659806516;6922319918;1302766367;698394249;1082059224;1158896535;837401969;1085917822;756883753;19261922328;9618521766;881857354;196602451;1338876307;1305985728;4150656663
200000800;10096851648;79435738;651487121;715870726;1519298993;1974964386;2258416852;2746418577;150959254;4727073148;299476;249798081;268707845;595407615;809237802;897332039;1755294631;121347534;2979480095;1495831459;1089380329;74596637;31967167;8225720431;3041660821;4194860738;20153399;787664882;4727073148;704453382;963497595;79642077;74596637;31967167;1105697471;27883383;274532546;92614794;10096851648;704453382;963497595;20318024;20153399;787664882;368562057;782934412;706469087;206149749;1663769959;5.064605;53681988;217909462;268772244;271614426;459185088;387542145;8390494524;514291876;399000489;1510178321;2089410171;1417699665;1682224397;777689606;8847041708;528513982;408795189;1544741222;2177075722;1467186415;1768980352;951748826;5462586818;6.061767;130224282;1094904132;1589969047;1086262635;1178081996;377082959;3384454891;522452215;278570907;44983709;587106675;38092378;590898357;574665867;8847041708;3955122607;375794902;1181731653;858877082;533522156;1941993308
200000925;21791814485;121246427;1271856537;2340413852;4913583123;3638017567;5004339031;4171254649;331103299;8754581632;56076734;432485191;708188869;1702017045;1329898057;1779020773;252761305;219281913;6670910383;266467864;3263141072;181458596;561632075;19616279291;535946283;12332822201;473316229;145067803;8754581632;840473872;1151333432;91863945;181458596;561632075;343911612;483994251;46660957;1538099772;21791814485;840473872;1151333432;18372789;473316229;145067803;11694135526;1576933693;1144895745;3276320067;2010799437;5.110557;59997186;235312882;399683886;410765108;536724744;363205075;17551857221;1476936402;900648727;3872389357;4935703309;2937096889;2650336229;778746308;17704762385;1507450415;910706545;3873389357;4938703309;2938096889;2668266965;868148905;12155906957;17.164159;202624609;315162753;4043990988;2377623968;2009763154;353112549;5548855428;1490286256;708081935;721761827;894712321;560472922;658503811;515036356;17704762385;8731286952;138030987;2103162016;959047761;891790427;3639165359
200000933;14318081429;361668263;781049459;686471975;2018236248;2089351114;3609124979;4471244154;300935237;7064620517;144702717;295876169;280152191;83568579;896168806;1514795839;2905820319;191418687;4274790726;2260815507;1433753686;110269962;46995157;11388263812;452659473;5438427397;255305993;1167935692;7064620517;124634652;1442918376;100564895;110269962;46995157;1443549955;389526751;316681755;1544810732;14318081429;124634652;1442918376;240552721;255305993;1167935692;4664432777;1049064101;839002599;341252265;2721867713;10.108592;89918139;307945481;428409704;493221102;748988578;643276116;12225076962;654230819;548956002;2068331117;2695601935;2202609193;2835658187;1219689708;12504076962;674230819;575956002;2099331117;2712601935;2213609193;2860658187;1367689708;7690441761;11.077033;174378923;1470081986;1937569907;1580902326;1992907015;523524571;4813635202;663153786;401577079;629249132;775032029;632706867;867751173;844165136;12504076962;577383012;431217076;1544877425;1284545397;789642298;2679964645
200004802;2772973944;40906992;336163052;3501733453;4314825308;4965785281;3848170395;6660460124;668064438;119597002;130154912;1254151614;1192464356;155103367;1978989529;1439186122;402971941;384000587;852221436;4015177686;3407720815;28509791;814217949;24013263139;827855301;12943273008;714708114;2076729006;119597002;1530252114;1702890123;204343603;28509791;814217949;3159343101;991714102;730519535;2541321762;2772973944;1530252114;1702890123;483334065;714708114;2076729006;10318824006;3208502098;2128204758;5566295157;3245193665;10.994341;8020001;330624473;570638937;597496008;994008012;661231884;22910232837;1407421257;990606531;402846705;6030511214;3830655524;4861702477;1760868784;23304562498;1409421257;1023606531;4046466999;6046511214;3843931948;4921406555;2013217994;15570587729;17.034241;189829257;3025995681;4761427985;2975115008;3646725587;954459972;7733974769;1392387016;833777274;1020471318;1285083229;86881694;1274680969;1058758023;23304562498;11815160351;1211578777;2711167372;1633726645;1494392563;443853679
200005932;15177744828;85750879;1158445436;1911075204;3208895012;2863851943;2293474079;3413420986;242831289;6691303769;30244515;428626112;697282238;1275563549;1106815381;839296382;215123627;162239323;4606166476;2120086762;1892026825;125444295;468608594;13027253028;4315073656;7188067054;325546684;1198565635;6691303769;920801788;1104019201;60316304;125444295;468608594;2098698548;399411215;340025531;1173978293;15177744828;920801788;1104019201;125670811;325546684;1198565635;6781393201;1290772733;945468496;2485506279;2006088167;12.253666;83768243;280800165;334973952;388386406;55633115;349574585;12402351614;847335254;612965253;2487023332;3164266596;2157253182;2398285995;735222002;12591431737;849698756;619692142;2491023104;3165266539;2161215418;242867402;875861759;8349849324;8.994895;131152128;1839986544;2510021609;167210101;1813789239;373803899;4241582412;840703861;488540013;651036559;65524493;489114409;614884781;502057859;12591431737;6170734311;855329639;1372073253;799988535;759603607;2633702391
200005957;12524220541;35992947;868941432;554726866;1768755972;2162939198;305041191;3061345899;697169795;5546452251;139047343;324181934;204303086;623939645;809203514;1108096661;2018256995;319423072;3609172613;1637880908;141786231;125217894;428211501;10473339837;3335525688;5625459443;33470937;1177645336;5546452251;807849284;1054538841;74891513;125217894;428211501;1220517438;483305233;211721054;1140199493;12524220541;807849284;1054538841;18849258;33470937;1177645336;4009910996;1715009921;522497527;2713566688;1827334553;20.750371;52248106;216140389;333742421;319326129;509281993;375845145;10202009328;812172444;514841474;2071140037;2498633256;1705622206;1855323469;744276442;10627280065;926512522;557601228;2099306513;2530637685;1726622206;1884323469;902276442;631632067;14.042589;138560649;1464969286;1830824427;1268623703;1263879561;335420455;4310959395;912469933;419040579;634337227;699813257;457998503;620443908;566855987;10627280065;4745244621;381112155;1254276475;918043244;594569394;2734034176
