codgeo;POP_ENS_ENS_ENS;POP_02_ENS_ENS;POP_06_ENS_ENS;POP_11_ENS_ENS;POP_15_ENS_ENS;POP_18_ENS_ENS;POP_25_ENS_ENS;POP_30_ENS_ENS;POP_ENS_1_ENS;POP_02_1_ENS;POP_06_1_ENS;POP_11_1_ENS;POP_15_1_ENS;POP_18_1_ENS;POP_25_1_ENS;POP_30_1_ENS;POP_ENS_2_ENS;POP_02_2_ENS;POP_06_2_ENS;POP_11_2_ENS;POP_15_2_ENS;POP_18_2_ENS;POP_25_2_ENS;POP_30_2_ENS;POP_ENS_ENS_1;POP_02_ENS_1;POP_06_ENS_1;POP_11_ENS_1;POP_15_ENS_1;POP_18_ENS_1;POP_25_ENS_1;POP_30_ENS_1;POP_ENS_1_1;POP_02_1_1;POP_06_1_1;POP_11_1_1;POP_15_1_1;POP_18_1_1;POP_25_1_1;POP_30_1_1;POP_ENS_2_1;POP_02_2_1;POP_06_2_1;POP_11_2_1;POP_15_2_1;POP_18_2_1;POP_25_2_1;POP_30_2_1;POP_ENS_ENS_2;POP_02_ENS_2;POP_06_ENS_2;POP_11_ENS_2;POP_15_ENS_2;POP_18_ENS_2;POP_25_ENS_2;POP_30_ENS_2;POP_ENS_1_2;POP_02_1_2;POP_06_1_2;POP_11_1_2;POP_15_1_2;POP_18_1_2;POP_25_1_2;POP_30_1_2;POP_ENS_2_2;POP_02_2_2;POP_06_2_2;POP_11_2_2;POP_15_2_2;POP_18_2_2;POP_25_2_2;POP_30_2_2;POP_ENS_ENS;POP_1_ENS;POP_2_ENS;POP_ENS_A;POP_1_A;POP_2_A;POP_ENS_B;POP_1_B;POP_2_B;POP_ENS_C;POP_1_C;POP_2_C;POP_ENS_D;POP_1_D;POP_2_D;POP_ENS_E;POP_1_E;POP_2_E;POP_ENS_F;POP_1_F;POP_2_F;POP_ENS_G;POP_1_G;POP_2_G
200000172;26480069578;1369409788;1860689472;1420356624;1045474871;1939049442;1811735763;17033353619;13375867495;650992893;1013353703;738265952;505973787;1094980702;914589846;8457710611;13104202084;718416895;847335769;682090672;539501084;84406874;897145917;8575643007;6068469139;1025966511;1823383539;1407593336;1007123872;607838026;67251483;129312372;3072900286;476502321;988583303;733177255;475824326;302008958;35.472076;61332048;2995568853;54946419;834800236;67441608;531299547;305829069;31.779408;67980324;20411600439;343443277;37.305933;12.763289;38.350998;1331211416;174448428;16904041247;10302967209;174490572;24.7704;5.088697;30.149461;792971745;87911777;8396378564;10108633231;168952705;12.535533;7.674592;8.201537;538239671;86536651;8507662683;20018087941;1009861754;9919470401;442992663;2007317534;2422609096;934941898;431827343;503114555;5476053148;3245173507;2230879641;3434953749;1742601917;1692351832;2434424084;1124476214;1309947871;1761120668;715804199;1045316468;1546667763;831416826;715250937
200000438;34587819994;1947567036;2882943658;2146950191;1405477992;1848510726;1714445399;22641924992;16993609201;978582549;1496470705;108698274;705009914;981956405;83920497;10905401918;17594210793;968984487;1386472953;1059967451;700468077;866554321;875240429;11736523074;844576654;1472614676;2831980391;2123311206;1361396492;53054781;28969813;96946152;4309811206;744110105;1473525171;1081998011;683365106;283577432;13.084306;30151076;4135955334;728504571;135845522;1041313195;678031386;246970378;15.885507;66795076;26142053454;47495236;50.963267;23.638984;44.0815;1317962916;1685475586;2254497884;12683797995;234472444;22.945534;4.984729;21.644809;698378972;826120664;10875250843;13458255459;240479916;28.017733;18.654256;22.436691;619583944;859354922;11669727998;25592498843;12421395288;13171103555;4770247541;1737163598;3033083942;1096841757;438279933;658561824;9480782992;5563825153;3916957839;4850410475;2266367861;2584042614;3041057716;1411936754;1629120962;1535710747;608524613;927186134;817447616;395297376;42215024
200000545;1804446216;936069263;1313775039;970520067;643265834;1151378812;870028898;12159424246;8524515233;422476643;639406012;494071979;327047181;575312882;414399395;5651801141;9519946927;51359262;674369027;476448088;316218653;57606593;455629503;6507623105;4059649806;712798361;1283400777;957992574;600045066;373871515;38802026;92739487;1981512261;341583537;626849969;488348974;313700174;16356076;15.722511;31746336;2078137545;371214824;656550809;4696436;286344891;210310755;23.079515;60993151;13984812353;223270902;30.374262;12.527493;43.220769;777507297;831226872;12066684759;6543002972;80893106;12.556043;5.723005;13.347007;411752122;398676884;5620054805;7441809381;142377795;17.818219;6.804488;29.873762;365755175;432549988;6446629954;13718639697;6443830818;7274808879;4657936521;190660036;2751336161;86538402;307375546;558008474;4351801251;2495887106;1855914145;1900441428;823596022;1076845407;917147294;459363775;457783519;624961897;22207923;402882667;400967287;228928781;172038506
200000628;23385938931;1252362044;1580402444;1291252115;869455585;1394370793;1142006834;15856089115;11406720379;673328107;763679861;663726391;433419309;728995992;545557031;7598013687;11979218552;579033937;816722583;627525725;436036276;665374802;596449803;8258075428;5115555084;870257359;1550196184;1267299204;823416582;466930104;38957299;98498353;2568582361;468644778;74913812;651803864;406731983;229102737;8.995788;54165091;2546972723;401612581;801058064;61549534;416684598;237827367;29.96151;44333262;18270383847;382104685;30.20626;23.952912;46.039004;92744069;1103049535;15757590761;8838138018;20468333;14.541741;11.922527;26.687326;499893255;536561243;7543848596;9432245829;177421356;15.664519;12.030385;19.351678;427547435;566488292;8213742165;1783411999;860699042;922712957;5114106214;218908824;2925017974;963775034;413486979;550288055;5487124329;3068085558;241903877;2912561845;1343890026;1568671818;166375451;819299463;844455047;957424698;376525625;580899074;735373361;396614529;338758832
200000800;103730925;426496319;622287841;477266632;348567563;588741608;447231828;7462500709;4965864356;207437556;294639639;245522784;160502763;316378529;209841121;3531541964;5407228144;219058763;327648201;231743848;188064801;272363079;237390707;3930958745;2052359982;322127881;610378286;471413626;335723252;183075367;16013906;113627663;1027791137;164096314;286697243;242607437;156517711;94868022;10.025784;72978626;1024568845;158031567;323681043;22880619;179205541;88207345;5.988122;40649037;8320732518;104368437;11.909555;5.853005;12.844312;40566624;431217922;7348873047;3938073219;43341242;7.942397;2.915347;3.985051;221510507;199815337;3458563338;4382659299;61027195;3.967158;2.937658;8.85926;184155734;231402585;3890309709;819860152;3883874233;4314727287;2312364784;905493686;1406871098;453630222;16305529;290574931;2471255623;1467233464;1004022159;1307109713;627443635;679666078;763501056;325202524;438298532;473298363;192993993;28030437;41744176;202451641;214990119
200000925;21535131023;1115877293;1451827149;1262664197;989695204;1428461756;10288046;14257800825;10591300109;55089073;709344405;645804203;49432253;733953873;523428006;6933556362;10943830914;564986563;742482743;616859993;495372674;694507883;505376594;7324244463;5177870755;790131936;1412046855;1250758166;956603186;685772203;21087913;61470495;253173267;38623121;690474679;640881366;473193994;309659793;8.067592;23224035;2646138085;403900726;721572175;6098768;483409192;37611241;13.020321;3824646;16357260268;325745357;39.780294;11.90603;33.092017;742689553;1007716687;14196330329;805956744;164659521;18.869726;4.922837;21.128536;42429408;515360414;6910332326;8297692829;161085836;20.910568;6.983193;11.963482;318395473;492356274;7285998003;15979828587;7871115356;8108713231;2966590622;1236694724;1729895898;759679426;314532892;445146534;5009716739;2983036252;2026680488;3029654584;1500959474;1528695109;2142123233;958673756;1183449477;1240945888;465494039;775451849;831118095;411724219;419393876
200000933;14377061731;528692682;747035456;59725663;463130429;787056392;655736092;10598154048;7121476249;282184077;376278096;323241507;240688329;447123356;324382827;5127578057;7255585482;246508606;37075736;274015123;2224421;339933036;331353265;5470575991;2404019487;372326329;726778934;59136194;438293993;200530675;16962638;57764977;1234855207;198933606;366706132;321251268;221836168;98419091;6.973111;20735831;116916428;173392723;360072802;270110672;216457825;102111584;9.989527;37029147;11973042244;156366353;20.256523;5.89469;24.836436;586525717;638773454;10540389071;5886621042;83250471;9.571964;1.990238;18.852161;348704265;317409716;5106842227;6086421202;73115883;10.684558;3.904451;5.984276;237821452;321363738;5433546844;11790524678;5791808368;599871631;3377933487;1378159132;1999774355;750623142;27260435;478018792;3788417703;2309543716;1478873987;1795479861;845579774;949900087;99342014;473852414;519567726;62432022;235783885;388536335;460330126;276285097;184045029
200004802;27600076688;1166765181;1735687227;1393061781;982768324;1450259463;1035255512;19836279198;1353556475;59625487;850783417;718867637;515870396;774844808;527318428;9551625194;14064511938;570510311;88490381;674194144;466897929;675414656;507937084;10284654004;5539990401;829235856;1707792314;1377170591;957872334;509166511;29962789;128790006;277467137;419033169;840783846;714912564;497943225;245988076;10.976225;45034266;2765319031;410202688;867008468;662258027;459929109;263178435;18.986564;8375574;22060086286;337529325;27.894914;15.891189;24.895991;941092952;1005292723;19707489192;10760893379;177221701;9.999571;3.955073;17.927171;528856732;516342203;9506590929;11299192907;160307624;17.895343;11.936116;6.96882;41223622;48895052;10200898264;21678770858;10569717034;11109053824;3890530117;186795674;2022573376;1437330214;621305385;816024829;556993133;3161750548;2408180782;4177707705;1943418929;2234288776;260413294;1015577047;1588555893;209018447;876276103;1213908367;1908954083;1083432282;825521801
200005932;15125119959;717118525;1021497152;795072545;577669536;891721362;639203627;10482837212;7399876856;376692481;526361817;416264983;303316853;489958196;314015613;4973266914;7725243103;340426045;495135335;378807562;274352682;401763166;325188014;5509570298;3369176172;535526724;991490631;777196971;565564163;390297144;29122352;79978187;1741913906;272972248;51432515;406414126;295276765;197895259;16.05531;38975048;1627262266;262554475;477165481;370782845;270287398;192401885;13.067042;41003139;11755943787;181591802;30.006521;17.875574;12.105373;501424218;610081275;10402859025;565796295;103720232;12.036667;9.850857;8.040089;292062937;297960303;4934291866;6097980837;77871569;17.969854;8.024717;4.065284;209361281;312120972;5468567159;1152646989;5532355194;5994114696;1874124213;765027914;11090963;601473794;24302242;358451374;3113970819;1808373084;1305597735;2059283654;954185858;1105097796;1603323957;692677745;910646212;1126948447;456640048;670308399;1147345006;612428126;53491688
200005957;12770295875;620988463;848968438;673058909;563916478;920197272;652102928;8491063387;6243919646;314208079;421082531;324937753;287573983;499700698;340353587;4056063015;6526376229;306780384;427885908;348121156;276342495;420496574;311749341;4435000372;2972326774;481578175;835190462;662248706;531360663;406873881;19958677;35116209;1494984923;243190916;413192646;320059969;271751032;225623613;10.110215;11056532;1477341851;238387259;421997816;342188738;259609632;181250267;9.848462;24059678;9797969101;139410288;13.777976;10.810202;32.555815;513323392;63214425;8455947177;4748934723;71017164;7.889885;4.877784;15.822952;274077085;330243371;4045006483;5049034378;68393124;5.888092;5.932418;16.732863;239246307;301900879;4410940695;9633970635;4665149891;4968820744;3078684393;1289779179;1788905214;542134672;197531266;344603406;2921620606;1725716065;1195904541;1523781462;736053281;787728181;854619581;394729737;459889844;480098261;19616756;283930701;233031659;125172802;107858857
