codgeo;STOCD_NBLOG_ENS;STOCD_NBLOG_10;STOCD_NBLOG_21;STOCD_NBLOG_22;STOCD_NBLOG_23;STOCD_NBLOG_30;STOCD_POP_ENS;STOCD_POP_10;STOCD_POP_21;STOCD_POP_22;STOCD_POP_23;STOCD_POP_30;STOCD_DUREE_ENS;STOCD_DUREE_10;STOCD_DUREE_21;STOCD_DUREE_22;STOCD_DUREE_23;STOCD_DUREE_30;ANEMR2_NBLOG_ENS;ANEMR2_NBLOG_0;ANEMR2_NBLOG_1;ANEMR2_NBLOG_2;ANEMR2_NBLOG_3;ANEMR2_NBLOG_4;ANEMR2_NBLOG_5;ANEMR3_NBLOG_ENS;ANEMR3_NBLOG_0;ANEMR3_NBLOG_1;ANEMR3_NBLOG_2;ANEMR3_NBLOG_3;ANEMR3_NBPIECES_ENS;ANEMR3_NBPIECES_0;ANEMR3_NBPIECES_1;ANEMR3_NBPIECES_2;ANEMR3_NBPIECES_3;ANEMR3_POP_ENS;ANEMR3_POP_0;ANEMR3_POP_1;ANEMR3_POP_2;ANEMR3_POP_3;GARL_NBLOG_ENS;GARL_NBLOG_1;GARL_NBLOG_2;NBPIR5P_NBLOG_ENS;NBPIR5P_NBLOG_1;NBPIR5P_NBLOG_2;NBPIR5P_NBLOG_3;NBPIR5P_NBLOG_4;NBPIR5P_NBLOG_5;SUROCCHS1P_NBLOG_ENS;SUROCCHS1P_NBLOG_1;SUROCCHS1P_NBLOG_2;TYPLR-ACHL20_NBLOG_ENS_ENS;TYPLR-ACHL20_NBLOG_1_ENS;TYPLR-ACHL20_NBLOG_2_ENS;TYPLR-ACHL20_NBLOG_3_ENS;TYPLR-ACHL20_NBLOG_ENS_A11;TYPLR-ACHL20_NBLOG_1_A11;TYPLR-ACHL20_NBLOG_2_A11;TYPLR-ACHL20_NBLOG_3_A11;TYPLR-ACHL20_NBLOG_ENS_A12;TYPLR-ACHL20_NBLOG_1_A12;TYPLR-ACHL20_NBLOG_2_A12;TYPLR-ACHL20_NBLOG_3_A12;TYPLR-ACHL20_NBLOG_ENS_B11;TYPLR-ACHL20_NBLOG_1_B11;TYPLR-ACHL20_NBLOG_2_B11;TYPLR-ACHL20_NBLOG_3_B11;TYPLR-ACHL20_NBLOG_ENS_B12;TYPLR-ACHL20_NBLOG_1_B12;TYPLR-ACHL20_NBLOG_2_B12;TYPLR-ACHL20_NBLOG_3_B12;TYPLR-ACHL20_NBLOG_ENS_C100;TYPLR-ACHL20_NBLOG_1_C100;TYPLR-ACHL20_NBLOG_2_C100;TYPLR-ACHL20_NBLOG_3_C100;TYPLR-ACHL20_NBLOG_ENS_C106P;TYPLR-ACHL20_NBLOG_1_C106P;TYPLR-ACHL20_NBLOG_2_C106P;TYPLR-ACHL20_NBLOG_3_C106P;TYPLR-CATL_NBPIECES_ENS_ENS;TYPLR-CATL_NBPIECES_1_ENS;TYPLR-CATL_NBPIECES_2_ENS;TYPLR-CATL_NBPIECES_3_ENS;TYPLR-CATL_NBPIECES_ENS_1;TYPLR-CATL_NBPIECES_1_1;TYPLR-CATL_NBPIECES_2_1;TYPLR-CATL_NBPIECES_3_1;TYPLR-CATL_NBPIECES_ENS_2;TYPLR-CATL_NBPIECES_1_2;TYPLR-CATL_NBPIECES_2_2;TYPLR-CATL_NBPIECES_3_2;TYPLR-CATL_NBPIECES_ENS_3;TYPLR-CATL_NBPIECES_1_3;TYPLR-CATL_NBPIECES_2_3;TYPLR-CATL_NBPIECES_3_3;TYPLR-CATL_NBPIECES_ENS_4;TYPLR-CATL_NBPIECES_1_4;TYPLR-CATL_NBPIECES_2_4;TYPLR-CATL_NBPIECES_3_4;TYPLR-CATL_NBLOG_ENS_ENS;TYPLR-CATL_NBLOG_1_ENS;TYPLR-CATL_NBLOG_2_ENS;TYPLR-CATL_NBLOG_3_ENS;TYPLR-CATL_NBLOG_ENS_1;TYPLR-CATL_NBLOG_1_1;TYPLR-CATL_NBLOG_2_1;TYPLR-CATL_NBLOG_3_1;TYPLR-CATL_NBLOG_ENS_2;TYPLR-CATL_NBLOG_1_2;TYPLR-CATL_NBLOG_2_2;TYPLR-CATL_NBLOG_3_2;TYPLR-CATL_NBLOG_ENS_3;TYPLR-CATL_NBLOG_1_3;TYPLR-CATL_NBLOG_2_3;TYPLR-CATL_NBLOG_3_3;TYPLR-CATL_NBLOG_ENS_4;TYPLR-CATL_NBLOG_1_4;TYPLR-CATL_NBLOG_2_4;TYPLR-CATL_NBLOG_3_4;VOIT_NBLOG_ENS;VOIT_NBLOG_0;VOIT_NBLOG_1;VOIT_NBLOG_2;VOIT_NBLOG_3
200000172;11415687129;6766943288;2543626132;1457061751;307578075;340477884;26533634499;1650381531;4956107323;3817052046;519229148;737430672;166586635229;13190258375;1192514013;17129381794;1243738235;438579132;11415687129;1466366514;242134087;2048372878;2282499463;1262426487;1934680916;11415687129;1466366514;242134087;2048372878;5479606867;44810567812;4586950366;8058091478;7851529523;24313996445;26533634499;318655507;5440713283;5366625199;12539740947;11415687129;8969836486;2445850644;11415687129;421913892;1709359322;259944016;2883523544;3801450211;11068025071;569012495;10499012577;11080887164;5731196871;5303199193;46.4911;874316671;686869323;18543449;2.012859;482530675;289714811;192815863;0;1770747759;887777953;873075306;9.894501;3189454546;1797515882;13719177;20.020964;2542528917;1287115782;1243910307;11.502827;2221308596;78220312;1436045527;3.059949;53583534931;34674303713;18796718869;112512349;44810567812;28093510978;16617613822;99443012;406962202;188.353004;215.089123;3.520075;4293764678;4140610348;146543981;6.61035;4072240239;2251829384;1817471943;2.938912;13763103902;7382414936;6323143285;57545681;11415687129;5858572583;5510623446;46.4911;132522582;38.530248;90.472259;3.520075;1031308904;968255761;57.444963;5.60818;1183585288;517056344;664602617;1.926326;11415687129;965161021;484940889;4542499417;1058617801
200000438;14272461906;11332816518;2176441372;533645995;78191287;151366734;34391070282;28463063856;4419239573;1080173262;141037313;287556279;242911949186;226266909382;9717962558;4602171466;445158773;1879747008;14272461906;1404330719;2431346705;2583446618;3252629664;1321396751;3279311449;14272461906;1404330719;2431346705;2583446618;7853337863;65672190521;5468580765;10234111117;11812017823;38157480816;34391070282;3184670997;5955644916;7264370997;17986383372;14272461906;11486529091;2785932815;14272461906;101091762;805021473;2200370925;3754690674;7411287072;14240847961;192317255;14048530707;13930020551;12748751201;1109729481;71.539869;1487577192;1425359299;58188207;4.029686;868682772;80639536;61287404;1.000007;1969469732;1798675228;166771527;4.022978;4067662089;3744963743;310593372;12.104974;2588611514;2317063004;253401268;18.147241;2948017252;2656294566;259487703;32.234982;72143708153;68017473542;3892829859;233404752;65672190521;62188662149;3273260501;210267871;149891499;105.586926;41.291314;3.01326;1989261523;1946751396;35476468;7.033659;433236461;3776473071;542801577;13.089962;16015046421;14583000676;1343465636;88580109;14272461906;13061194505;113274707;78.520331;43138674;27.978876;14.155378;1.00442;53021959;515076396;12.129929;3.013266;1169226251;978750899;18443326;6.042093;14272461906;871592895;5787187756;6359770502;1253910752
200000545;8451482953;4868766277;1280361942;2119564431;101758509;81031794;18005996681;10604865789;2807371018;4322081568;13859942;133078885;142413832336;112577224608;8353926455;19941032057;503910595;1037738621;8451482953;950196116;1607109792;1544198577;1483497102;960419394;1906061972;8451482953;950196116;1607109792;1544198577;4349978468;33371788064;3207337606;5759758328;6095371378;18309320753;18005996681;2023095393;3794040906;3818871101;8369989281;8451482953;5751397225;2700085728;8451482953;187345978;906763369;2189590527;2619359855;2548423225;8285760239;269636152;8016124087;8371362643;6284402579;2048455611;38.504452;782496382;758478733;24017648;0;1459793599;1241104473;218689125;0;2297233816;1514166106;781097616;1.970093;229357551;1660499423;601226919;31.849169;687243763;491041882;193525004;2.676878;851019573;619111962;229899299;2.008312;38944209819;31610500083;7246412012;87297724;33371788064;27340662997;5952834929;78290139;190142077;103.032379;83.109699;4;1015236994;985075672;30161322;0;4367042684;3181729035;1180306063;5.007585;9907835154;7331755276;2534572897;41506981;8451482953;6347134221;206584428;38.504452;64859665;27.078673;36.780992;1;23473683;224066087;10.670743;0;1156755705;733476295;421276882;2.002528;8451482953;1712813079;4153571239;2186873607;398225028
200000628;10218291443;6469579962;2389365271;98375588;122183755;253406575;2374233949;15318937468;5348686412;2352760566;221174601;500780443;175161969364;141006323866;17905484864;11791532348;740922854;3717705432;10218291443;1064437858;1807760768;1655722607;216797713;1217527845;2304865236;10218291443;1064437858;1807760768;1655722607;569037021;4422809;3954737609;7178638631;681942738;2627528638;2374233949;2479976828;4549299868;4332737305;12380325489;10218291443;6912062065;3306229378;10218291443;161050107;575088871;1781410637;353523257;4165509258;10083989201;313335619;9770653582;9948556628;7598068468;2255623353;94.864807;1248254456;984128216;257073005;7.053234;512605465;406412389;99081584;7.111493;2719424143;1572106968;1102295003;45.022172;2979137484;2494638021;468038581;16.460882;1412278395;1216815438;17824593;17.217027;1076856686;923967436;15088925;2;51642053716;42350188255;9039843033;252022427;4422809;36405543361;7617884683;204661957;530791212;430.642842;86.159673;13.988697;1098990461;1056462667;42527794;0;5784182043;4457539386;1293270884;33.371774;12145122127;9082497676;2925900541;13672391;10218291443;7805506056;2310860952;101.924435;13871534;99.081629;33.674473;5.959237;248286925;226136031;22.150894;0;153982842;95177396;559214222;28.840238;10218291443;1060056782;4704302052;3723188547;730744062
200000800;4726177087;3205694817;69177101;663000733;33328784;132381743;10078452816;7095534101;1358667807;1290263647;53181412;280805848;78357436485;65688154323;4791179417;6361462075;144539616;1372101054;4726177087;445837341;839460053;797437025;1092778971;569356099;981307599;4726177087;445837341;839460053;797437025;2643442668;20878698672;1730109765;3289730371;3491712897;12367145639;10078452816;870976892;1844493982;193107751;5431904432;4726177087;3398015062;1328162025;4726177087;67759894;297390433;971756506;135169807;2037572184;4656183423;83001052;4573182371;4712151548;4080653266;600559661;30.938621;722001425;685624093;33396672;2.98066;444032578;418841659;23200194;1.990724;917121932;733116947;181104356;2.900628;1325452053;1091768849;228675215;5.007989;876315387;739220473;120040088;17.054826;427228174;412081245;14143135;1.003794;33675869483;30821327554;2767817117;86724813;20878698672;18951123213;1856256427;71319031;193875495;160.122189;30.667775;3.085531;984854829;9567273528;275032494;6.242268;2754747027;2142808623;605860421;6.077982;6870432298;5916679166;909423123;44330009;4726177087;4093675012;600559661;31.942415;47928095;32.618926;13.229377;2.079792;1428707692;1335803577;87.673508;5.230606;667619425;454581651;207960577;5.077197;4726177087;504424444;2173510226;1716891805;331350612
200000925;8783899014;7115011088;852956192;674069197;43725053;98137484;21849094836;18420684437;1811690634;1349726747;70053389;196939631;156165946534;14202695255;4762442449;7820245284;273252057;1283054194;8783899014;744486686;1376289782;1385788511;2085266274;1158808712;203325905;8783899014;744486686;1376289782;1385788511;5277334035;42402754821;3171642549;596282169;658987694;26678413643;21849094836;1767689809;3604576299;4062684122;12414144607;8783899014;7042538764;174136025;8783899014;6820026;374897969;96467443;2221471452;5154654903;8687657707;136279459;8551378248;8635609242;7465054804;115747406;13.080378;952658972;896984328;51637469;4.037175;342105014;296476118;44648219;0.980678;109315824;814098874;276010815;3.048551;3199532345;2790072262;408460083;1;1884711187;1687095;196600003;1.016184;1163443484;980328224;180117471;2.99779;44908558345;40885287042;3975249557;48021746;42402754821;38795831619;3566683287;40239915;63705986;20.871672;37.097762;5.736552;514769245;506593891;8175354;0;1927328293;1561989859;363293154;2.045279;9356054873;8037377186;1301296623;17381064;8783899014;7608285587;1162533049;13.080378;18943165;3.95639;12.731369;2.255407;104446121;102402283;2.043838;0;448766572;322732927;123988367;2.045279;8783899014;520269596;3199589776;4136409099;927630543
200000933;7078733537;4718995711;1256302091;824537911;78674094;200223731;14316;9759922525;2283463406;1738180009;132751197;401682863;129534297503;106998350665;10447037446;9297767163;449005454;2342136776;7078733537;701216473;1075987038;1142478603;1474253699;959426827;1725370897;7078733537;701216473;1075987038;1142478603;4159051423;30774883252;2559158471;4237262359;4832881741;19145580681;14316;1367459882;2262507024;2668661317;8017371777;7078733537;5356321083;1722412454;7078733537;125873732;489112835;1431114267;2175577731;2857054972;6972831305;78366814;6894464492;7033518565;6417391417;572574834;43.552315;1653452703;1550583514;99836123;3.033066;762968948;718571245;43377862;1.019841;120933289;1073348757;13295933;3.024803;2037183728;1893497449;1396566;4.029679;763300471;640897799;11742362;4.979052;607279827;540492655;39321298;27.465874;41044200969;38665452248;2134307388;244441333;30774883252;29045683259;1637542653;9165734;161374101;98.24007;51.117184;12.016847;5133285037;4986515354;19032617;127.737066;4974658579;4535013565;426614934;13.030081;9663701224;8718433244;808028527;137239452;7078733537;6457545194;576633964;44.554379;63155557;24.064672;30.078213;9.012672;1176224839;1092551307;10.018686;73.654846;1345587291;1144272071;191297665;10.017555;7078733537;856730022;3310082923;2409970158;501950435
200004802;11958644611;8749314969;2200341891;32103959;27661816;41133;27691670339;20449231224;4974481878;812606295;563567134;891783807;162170296836;137792557001;14415755967;4167015657;1256060494;4538907717;11958644611;1329558572;2258356667;2249463938;3092947345;1623085838;1405232251;11958644611;1329558572;2258356667;2249463938;6121265434;49647381921;4721447727;8348266447;9151955254;27425712492;27691670339;3151739057;5595603395;5710668949;13233658938;11958644611;9387110045;2571534565;11958644611;35139411;1131991412;256122336;3453496;4460539729;11624428149;628351867;10996076282;11671020362;9536765733;1943428306;190.826324;148540236;941550442;537872651;5.979267;424306215;233644022;182681562;7.980631;1417296912;1079095029;324214516;13.987367;365422197;3209147381;385236216;59.838374;3055734353;2777606504;212373074;65.754775;1634058552;1295722354;301050288;37.285909;75749512667;6699077817;819343328;565301217;49647381921;43751225661;5483357649;412798611;609748958;471.121179;81.726147;56.901633;20237899245;18697341091;1464837507;75.720646;5254482542;4071090238;1163511977;19.880327;18233536541;15005283603;2907835515;320417423;11958644611;9799564992;1966264231;192.815387;185045105;97.517191;31.57759;55.950324;4733375932;420341549;472.193983;57.766459;1356470894;904785929;437799711;13.885253;11958644611;651995779;4927234998;509201793;1287395903
200005932;668644769;4949866783;899250294;632274603;8144584;123610171;15209920048;11618175141;1761372374;1436390003;115238004;278744527;11482418179;100685926185;5960940496;6319200106;451737057;1406377946;668644769;664153314;1101197381;1025624589;1463635462;943904191;1487932754;668644769;664153314;1101197381;1025624589;3895472406;31787437899;2539434472;4630620819;4809511903;19807870704;15209920048;1325962649;2649661443;2821873051;8412422905;668644769;5362205934;1324241756;668644769;36191424;452441493;1012619105;1595077908;3590117761;6645700918;124920257;652078066;6536988355;6113986946;405956684;17.044725;1045101716;991013757;50078125;4.009835;443662263;404329312;36324197;3.008754;659535482;613182826;46352657;0;2427070567;2274807252;14723281;5.030505;1324827514;1228133077;92692278;4.002158;636790812;602520722;33276617;0.993473;37013146358;3559022342;1354444378;68478561;31787437899;30491622133;1235426585;60389181;158959195;140.532144;18.427051;0;2318929079;2273123106;39763637;6.042336;2747820186;2684946037;60827105;2.047044;7742605284;7237345725;482122137;23137422;668644769;6233143627;436259338;17.044725;39063111;32.274197;6.788914;0;456472003;439818368;12.607982;4.045653;56062248;532109533;26465904;2.047044;668644769;411891319;2794129307;2856109327;624317737
200005957;5538462759;3793216992;1260291967;316976218;44578818;123398765;12618729263;8840478921;2832377998;641616464;73216177;231039702;108223230794;92469265252;8719203517;4459872047;230725829;2344164148;5538462759;545776658;845676699;832328312;1135824343;665537053;1513319694;5538462759;545776658;845676699;832328312;331468109;26354195877;2233339115;3536996955;3818343859;16765515949;12618729263;1276182465;2054206363;2296192285;699214815;5538462759;4284202633;1254260126;5538462759;52155142;274293645;811609401;1382187312;3018217259;5506652672;118849812;538780286;5479424559;4287250328;1171006639;21.167593;1161975726;947713712;211183171;3.078842;646563478;478932737;167630741;0;1182160506;775672222;401457745;5.030539;1259123561;106901532;186085635;4.022606;718845604;572328128;14244004;4.077436;510755686;44358821;62209306;4.958169;31077475456;25726618533;525650815;94348772;26354195877;22381959829;3894189458;7804659;11064829;68.308442;41.295404;1.044444;972402361;909261657;61140703;2;3640228928;2367088605;1259882586;13.257738;6740629465;5016736435;169151648;3237655;5538462759;4334404402;1179941838;24.11652;34053603;13.893156;19.116002;1.044444;207923439;189211406;17.712032;1;960189665;479227471;474746607;6.215586;5538462759;781379424;2497813914;187713141;382138011
