codgeo;INDICS_FILO_DISP_NBMEN_1;INDICS_FILO_DISP_NBPERS_1;INDICS_FILO_DISP_MEDIANE_1;INDICS_FILO_DISP_DET_D1_1;INDICS_FILO_DISP_DET_D9_1;INDICS_FILO_DISP_DET_RD_1;INDICS_FILO_DISP_DET_TP60_1;INDICS_FILO_DISP_DET_PACT_1;INDICS_FILO_DISP_DET_PTSA_1;INDICS_FILO_DISP_DET_PCHO_1;INDICS_FILO_DISP_DET_PBEN_1;INDICS_FILO_DISP_DET_PPEN_1;INDICS_FILO_DISP_DET_PPAT_1;INDICS_FILO_DISP_DET_PPSOC_1;INDICS_FILO_DISP_DET_PPFAM_1;INDICS_FILO_DISP_DET_PPMINI_1;INDICS_FILO_DISP_DET_PPLOGT_1;INDICS_FILO_DISP_DET_PIMPOT_1;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_1;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_2;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_3;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_4;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_5;INDICS_FILO_DISP_DET-TRAGERF_TP60_1_6;INDICS_FILO_DISP_DET-OCCTYPR_TP60_1_1;INDICS_FILO_DISP_DET-OCCTYPR_TP60_1_2;INDICS_FILO_DEC_DET_PIMP_1
200000172;11098;27102;25420;13620;48360;36;87;862;793;31;38;188;91;3;1.6;0.8;0.6;-171;125;97;93;78;68;NA;5;171;585
200000438;14078;34889;21500;13860;31380;23;78;761;699;3;32;267;63;52;3;1.4;0.8;-143;89;61;77;95;67;111;54;198;467
200000545;8223;18308;17940;9840;29390;3;249;604;533;38;33;365;69;10;3.5;4;2.5;-138;372;34;324;23;166;NA;123;43;383
200000628;10147;24422;19440;10490;33680;32;202;68;607;37;36;307;88;73;2.9;2.7;1.7;-148;28;228;249;189;169;114;102;375;431
200000800;4557;9924;21380;13110;34110;26;99;645;569;29;47;368;101;45;1.9;1.7;0.9;-159;NA;NA;112;111;NA;NA;56;209;485
200000925;8564;21899;23600;14790;34580;23;6;792;734;22;36;264;64;41;2.3;1.2;0.6;-161;NA;53;68;57;5;NA;5;178;574
200000933;6788;14015;20750;12510;33750;27;119;604;514;26;64;392;11;49;1.8;2;1.1;-155;NA;163;137;136;81;NA;71;227;459
200004802;11897;28052;22710;11390;40210;35;145;678;573;33;72;336;138;38;1.7;1.4;0.7;-19;NA;16;161;147;123;117;92;294;535
200005932;6486;15435;24090;14290;40770;29;72;745;685;22;38;308;107;31;1.7;0.8;0.6;-191;NA;8;87;68;NA;NA;5;196;60
200005957;5335;12380;19280;10720;31700;3;191;657;571;33;53;318;88;76;3;2.9;1.7;-139;347;237;234;174;121;NA;99;419;384
200006682;22751;50280;22760;13130;41940;32;97;731;596;23;112;281;141;39;1.6;1.4;0.9;-192;136;116;11;98;7;71;5;205;552
200006716;6805;15840;20690;11930;35650;3;143;723;638;28;57;284;95;62;2.7;2.1;1.4;-164;NA;17;17;135;112;NA;65;274;497
200006930;2225;4522;19620;11490;32230;28;162;596;501;23;72;384;104;54;1.9;2.3;1.2;-138;NA;NA;NA;NA;NA;NA;108;298;395
200006971;8335;17396;20700;11630;33180;29;143;597;512;28;57;402;101;58;2.2;2.2;1.4;-158;263;188;166;163;88;79;65;309;477
200007052;2708;5282;18520;10440;29590;28;194;501;40;23;78;476;102;51;1.6;2.5;1;-13;NA;NA;NA;NA;152;202;158;345;339
200007177;2114;4546;19790;11310;30850;27;168;589;505;29;55;385;89;7;2.4;3.2;1.4;-133;NA;NA;NA;NA;NA;NA;114;345;383
200010650;24509;53695;21270;12070;34960;29;133;682;61;26;46;343;77;61;2.3;2.4;1.4;-163;203;167;165;13;79;8;51;284;488
200010700;31527;76488;21330;12440;34810;28;121;744;676;29;39;284;64;6;2.7;2.1;1.2;-152;19;135;137;122;75;86;5;275;487
200011773;36156;79816;26140;10680;61610;58;161;851;78;39;32;196;8;32;1.1;1.2;0.9;-159;195;162;187;157;139;108;59;27;417
