codgeo;latitude;longitude;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj
200000172;6557601;965024;115,130;27163;2,35933292799444e+02;0,569
200000438;6720287;317100;327,170;35445;1,08338172815356e+02;0,601
200000545;6822642;751848;105,090;18432;1,75392520696546e+02;0,576
200000628;6353222;837136;150,580;23896;1,58693053526365e+02;0,533
200000800;6723462;629474;342,570;10548;3,07907872843506e+01;0,707
200000925;6682848;866901;195,180;22004;1,12736960754176e+02;0,694
200000933;6706394;653115;974,560;14597;1,49780413725168e+01;0,721
200004802;6285572;1000962;408,000;28088;6,88431372549020e+01;0,531
200005932;6737402;620802;417,260;15402;3,69122369745482e+01;0,722
200005957;6813763;968641;328,960;13052;3,96765564202335e+01;0,615
200006682;6656547;835217;558,810;51395;9,19722266960148e+01;0,707
200006716;6821854;738015;295,850;16830;5,68869359472706e+01;0,619
200006930;6403932;761329;262,270;5186;1,97735158424524e+01;0,655
200006971;6796608;544761;281,570;18261;6,48542103207018e+01;0,703
200007052;6598049;607091;286,360;5663;1,97758066769102e+01;0,705
200007177;6651820;684706;254,210;4879;1,91927933598206e+01;0,627
200010650;6670850;889353;426,580;54595;1,27983027802522e+02;0,649
200010700;6942990;524487;575,940;77906;1,35267562593326e+02;0,681
200011773;6571678;952292;77,820;90378;1,16137239784117e+03;0,472
200011781;6654081;697909;290,550;9663;3,32576148683531e+01;0,664
200013050;6881863;1049016;197,820;17388;8,78980891719745e+01;0,692
200015162;6146523;1229325;474,660;6011;1,26638014578856e+01;0,597
200016905;6434787;823871;223,850;6682;2,98503462139826e+01;0,623
200017341;6297876;728078;554,650;14702;2,65068060939331e+01;0,557
200017846;6810120;635717;473,100;54337;1,14853096596914e+02;0,584
200018083;7065490;616346;248,380;23225;9,35059183509139e+01;0,703
200018166;6471618;931178;647,350;101729;1,57146829381324e+02;0,685
200018406;6692638;606226;492,320;33569;6,81853266168346e+01;0,665
200018521;6612356;607468;280,170;5996;2,14012920726702e+01;0,676
200022986;6297083;766604;576,580;48811;8,46560754795518e+01;0,679
200023075;6693957;989828;385,240;18604;4,82919738344928e+01;0,534
200023125;6849827;677113;67,550;45787;6,77823834196891e+02;0,649
200023240;6796348;669930;223,920;29749;1,32855484101465e+02;0,625
200023299;6492842;976550;164,130;9185;5,59617376469871e+01;0,634
200023307;6365382;515034;355,820;47719;1,34109943229723e+02;0,603
200023372;6546792;998328;350,180;13069;3,73208064424011e+01;0,642
200023414;6925529;557757;664,140;492681;7,41833047249074e+02;0,657
200023620;6279106;542931;237,810;22069;9,28009755687313e+01;0,638
200023737;6378989;574859;594,330;41607;7,00065620110040e+01;0,646
200023778;6633022;329873;293,900;49545;1,68577747533175e+02;0,735
200023794;6453290;417376;205,140;20052;9,77478794969289e+01;0,615
200023919;6787631;678035;337,610;18716;5,54367465418678e+01;0,623
200026573;6588519;917862;350,840;20262;5,77528217991107e+01;0,609
200027027;6730399;294569;351,650;27767;7,89620361154557e+01;0,672
200027076;6637921;647654;361,670;8109;2,24209915115990e+01;0,641
200027100;6239813;965430;431,180;44109;1,02298344079039e+02;0,607
200027183;6181083;688245;646,660;268445;4,15125413664058e+02;0,598
200027217;6422924;557062;234,430;16023;6,83487608241266e+01;0,635
200027308;6741213;863932;765,480;8330;1,08820609290902e+01;0,666
200029734;6485474;456909;617,080;19917;3,22762040578207e+01;0,651
